tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,7.850231753279209,7.850231753279209,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,7.149768246720791,7.149768246720791,177450,0,0,4.999999999999986,4.999999999999986,0,0,1,rule,4.300231753279191,1.45,0,0,0
1,1,5,11.400231753279195,11.400231753279195,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,3.5997682467208048,3.5997682467208048,177450,0,0,5.000000000000008,5.000000000000008,0,0,1,rule,0,1.45,0.5,0.5,0.5
2,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,372.62043780252367,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,10253.339740145893,0,0,0.28890785404753777,0.28890785404753777,0,0,1,rule,3.3108603926732463,1.45,1,1,1
3,1,5,13.549999999999974,13.549999999999974,56.353902507748664,6.291218798110524,372.62043780252367,0,0,231.9262234159685,115.96311170798425,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.2468638564680443,2.2468638564680443,1,rule,3.696863856468064,1.45,1.5,1.5,1.5
4,1,5,13.549999999999974,13.549999999999974,56.353902507748664,14.196159747938417,372.62043780252367,0,0,211.46965924670818,105.73482962335409,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.823193196367104,2.823193196367104,1,rule,4.273193196367124,1.45,2,2,2
5,1,5,13.549999999999974,13.549999999999974,56.353902507748664,10.13615974793861,372.62043780252367,54.41167199832355,27.205835999161774,211.46965924670818,105.73482962335409,0,0,15,1.450000000000026,1.450000000000026,0,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.5,2.5,2.5
6,1,5,13.87802215856474,13.87802215856474,56.353902507748664,15.779092702169626,373.971941256332,54.41167199832355,27.205835999161774,188.0303475502225,94.01517377511125,0.6795260181317401,0.33976300906587004,15,1.1219778414352604,1.1219778414352604,0,6570875.583536427,3285437.7917682133,0,0,3.000000000000026,3.000000000000026,1,rule,4.7780221585647125,1.45,3,3,3
7,2,5,13.549999999999974,13.549999999999974,56.353902507748664,15.779092702169626,376.4097853980354,54.41167199832355,27.205835999161774,177.94766829378605,88.97383414689303,1.8276154645853782,0.9138077322926891,35,21.450000000000024,21.450000000000024,0,1.1216991056337606E7,5608495.528168803,0,0,1.7761435889553936,1.7761435889553936,1,rule,2.898121430390657,1.45,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,19.394674100784695,19.394674100784695,56.353902507748664,1.7790927021696252,376.4097853980354,164.01898471147265,82.00949235573633,177.94766829378605,88.97383414689303,1.8276154645853782,0.9138077322926891,35,15.605325899215305,15.605325899215305,0,0,0,5,5,0,0,1,rule,3.164674100784727,2.32,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,26.09828059330067,26.09828059330067,56.353902507748664,0,370.41914456576563,39.972228303663904,19.986114151831952,0,0,1.8276154645853784,0.9138077322926892,35,8.901719406699328,8.901719406699328,154900,0,0,5.000000000000013,5.000000000000013,0,0,1,rule,4.023606492515907,2.32,2.3999999999999906,2.400000000000004,2.400000000000004
10,2,5,28.77828059330067,28.77828059330067,56.353902507748664,0,363.5563994677264,6.128420562191368,3.064210281095684,0,0,1.8276154645853784,0.9138077322926892,35,6.221719406699329,6.221719406699329,177450.00000000006,0,0,5.000000000000016,5.000000000000016,0,0,1,rule,0,2.32,2.1999999999999926,2.1999999999999957,2.1999999999999957
11,2,5,31.45828059330062,31.45828059330062,56.353902507748664,0,356.6936543696872,2.3125312393404602,1.1562656196702301,0,0,1.8276154645853784,0.9138077322926892,35,3.5417194066993787,3.5417194066993787,177450,0,0,4.999999999999994,4.999999999999994,0,0,1,rule,0,2.32,2.6999999999999975,2.6999999999999944,2.6999999999999944
12,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,351.8324708702959,2.00777229033451,1.003886145167255,0,0,1.8276154645853782,0.9138077322926891,35,2.320000000000057,2.320000000000057,125695.62174376124,0,0,3.5417194066992947,3.5417194066992947,0,0,1,rule,0,2.32,3.200000000000004,3.1999999999999935,3.1999999999999935
13,2,5,32.67999999999994,32.67999999999994,56.353902507748664,4.638732969445899,351.8324708702959,2.00777229033451,1.003886145167255,96.03167714317183,48.01583857158592,1.8276154645853782,0.9138077322926891,35,2.320000000000057,2.320000000000057,0,0,0,0,0,1.656690346230678,1.656690346230678,1,rule,3.9766903462306353,2.32,3.7000000000000104,3.699999999999993,3.699999999999993
14,2,5,32.67999999999994,32.67999999999994,56.353902507748664,9.789398786463082,351.8324708702959,2.00777229033451,1.003886145167255,93.50870065246646,46.75435032623323,1.8276154645853782,0.9138077322926891,35,2.320000000000057,2.320000000000057,0,0,0,0,0,1.8395235060775657,1.8395235060775657,1,rule,4.159523506077566,2.32,4.200000000000014,4.199999999999992,4.199999999999992
15,2,5,32.67999999999994,32.67999999999994,56.353902507748664,3.2933987864632543,351.8324708702959,39.677240482169424,19.838620241084712,93.50870065246644,46.75435032623322,1.8276154645853782,0.9138077322926891,35,2.320000000000057,2.320000000000057,0,0,0,2.320000000000001,2.320000000000001,0,0,1,rule,0,2.32,4.700000000000018,4.699999999999992,4.699999999999992
16,2,5,32.67999999999994,32.67999999999994,56.353902507748664,9.919721859956457,351.8324708702959,39.677240482169424,19.838620241084712,88.21426868042444,44.10713434021222,1.8276154645853782,0.9138077322926891,35,2.320000000000057,2.320000000000057,0,0,0,0,0,2.366543954819001,2.366543954819001,1,rule,4.6865439548190375,2.32,5.200000000000021,5.199999999999996,5.199999999999996
17,3,5,32.67999999999994,32.67999999999994,56.353902507748664,14.383069366238216,351.8324708702959,39.677240482169424,19.838620241084712,86.24080674860632,43.12040337430316,1.8276154645853782,0.9138077322926891,25,0,0,0,0,0,0,0,1.5940526808149142,1.5940526808149142,1,rule,3.914052680814915,2.32,4.999999999999999,4.999999999999999,4.999999999999999
18,3,5,30.100758717430715,30.100758717430715,56.353902507748664,15.779092702169626,355.2657927644471,39.677240482169424,19.838620241084712,114.50870090501671,41.89238942303272,2.9165760275739645,1.3098285836538741,25,0,0,0,1.0165556209214251E7,3719013.8046485726,0,0,2.999999999999974,2.999999999999974,1,rule,3.3207587174306723,2.9,4.799999999999981,4.800000000000008,4.800000000000008
19,3,5,24.20075871743071,24.20075871743071,56.353902507748664,15.779092702169626,359.38343982327063,39.677240482169424,19.838620241084712,136.77669891791746,42.49367225858787,4.45028259341971,1.7816937671540727,25,0.799241282569291,0.799241282569291,0,1.4562615133790683E7,4524301.285371857,0,0,3.000000000000003,3.000000000000003,1,rule,0,2.9,5.299999999999979,5.300000000000003,5.300000000000003
20,3,5,22.099999999999955,22.099999999999955,56.353902507748664,13.541217110975401,359.38343982327063,53.448406673598235,23.0516812759714,136.77669891791746,42.49367225858787,4.45028259341971,1.7816937671540727,25,2.9000000000000448,2.9000000000000448,0,0,0,0.7992412825693592,0.7992412825693592,0,0,1,rule,0,2.9,5.799999999999978,5.799999999999999,5.799999999999999
21,3,5,22.099999999999955,22.099999999999955,56.353902507748664,5.421217110975305,359.38343982327063,96.32956250398723,33.05662704558113,136.77669891791749,42.493672258587864,4.45028259341971,1.7816937671540727,25,2.9000000000000448,2.9000000000000448,0,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,6.299999999999975,6.299999999999995,6.299999999999995
22,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,358.06050703453303,94.51136414474661,30.949789572167067,0,0,4.450282593419709,1.7816937671540727,25,2.9000000000000448,2.9000000000000448,34207.073118389235,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,6.799999999999974,6.799999999999993,6.799999999999993
23,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,357.4606035298416,87.5263595353822,28.687555096021182,0,0,4.450282593419709,1.7816937671540725,25,2.9000000000000448,2.9000000000000448,15511.704920806806,0,0,0.4370725534180494,0.4370725534180494,0,0,1,rule,2.462927446581968,2.9,7.299999999999973,7.29999999999999,7.29999999999999
24,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,353.4802113729788,44.77499496066408,14.841664326879684,0,0,4.450282593419709,1.7816937671540727,25,2.9000000000000448,2.9000000000000448,102921.00000000116,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,7.799999999999972,7.799999999999988,7.799999999999988
25,3,5,22.099999999999955,22.099999999999955,56.353902507748664,3.8680203367232786,353.4802113729788,44.77499496066408,14.841664326879684,212.3299635677987,55.24763308561425,4.450282593419709,1.7816937671540727,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.381435834544028,1.381435834544028,1,rule,4.281435834544031,2.9,8.29999999999997,8.299999999999986,8.299999999999986
26,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,351.39590761647054,74.98244593234676,21.227353387885806,0,0,4.45028259341971,1.7816937671540725,25,2.9000000000000448,2.9000000000000448,53893.84223203361,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,8.79999999999997,8.799999999999983,8.799999999999983
27,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0.7470022784896504,351.39590761647054,74.98244593234676,21.227353387885806,215.22707561357842,56.36774000161063,4.45028259341971,1.7816937671540725,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,0.26678652803201797,0.26678652803201797,1,rule,3.1667865280319916,2.9,9.299999999999969,9.299999999999983,9.299999999999983
28,3,5,22.099999999999955,22.099999999999955,56.353902507748664,3.324712985981443,351.39590761647054,74.98244593234676,21.227353387885806,209.3004453976477,54.81556191181923,4.45028259341971,1.7816937671540725,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,0.9206109669613546,0.9206109669613546,1,rule,3.8206109669613926,2.9,9.79999999999997,9.799999999999983,9.799999999999983
29,3,5,22.099999999999955,22.099999999999955,56.353902507748664,6.605510548538339,351.39590761647054,74.98244593234676,21.227353387885806,203.83153266170515,53.38325953855938,4.45028259341971,1.7816937671540725,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.1717134151988915,1.1717134151988915,1,rule,4.071713415198945,2.9,10.299999999999981,10.299999999999981,10.299999999999981
30,3,5,22.099999999999955,22.099999999999955,56.353902507748664,12.75802376438792,351.39590761647054,74.98244593234676,21.227353387885806,193.43318058369957,50.65994229463337,4.45028259341971,1.7816937671540725,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,2.1973261485177074,2.1973261485177074,1,rule,5.097326148517645,2.9,10.79999999999999,10.799999999999978,10.799999999999978
31,3,6,22.099999999999955,22.099999999999955,56.353902507748664,15.779092702169626,353.22785911543474,74.98244593234676,21.227353387885806,184.00998609933882,48.192017777400615,5.38153605914291,2.022392399620092,25,2.9000000000000448,2.9000000000000448,0,8716326.692445822,2282796.601534497,0,0,2.413660712738807,2.413660712738807,1,rule,5.313660712738769,2.9,11.299999999999997,11.299999999999978,11.299999999999978
32,3,6,22.099999999999955,22.099999999999955,56.353902507748664,7.659092702169529,353.22785911543474,131.08856323998324,35.10350450605248,184.00998609933885,48.19201777740061,5.38153605914291,2.022392399620092,25,2.9000000000000448,2.9000000000000448,0,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,11.800000000000004,11.799999999999976,11.799999999999976
33,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0,353.00192416551783,153.10445502484745,40.49030412076953,0,0,5.38153605914291,2.022392399620092,25,2.9000000000000448,2.9000000000000448,5842.000000002328,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,12.300000000000013,12.299999999999976,12.299999999999976
34,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0,352.8714796432582,150.61317889458002,39.84156125186925,0,0,5.381536059142909,2.022392399620092,25,2.9000000000000448,2.9000000000000448,3372.9040120658465,0,0,0.09503815193197324,0.09503815193197324,0,0,1,rule,2.80496184806803,2.9,12.800000000000017,12.799999999999974,12.799999999999974
35,3,6,22.21095591754222,22.21095591754222,56.353902507748664,8.400000000000027,352.8714796432582,150.61317889458002,39.84156125186925,169.60240290612902,44.66358928620239,5.381536059142909,2.022392399620092,25,2.7890440824577816,2.7890440824577816,0,0,0,0,0,3.0000000000000098,3.0000000000000098,1,rule,6.0109559175422085,2.9,13.300000000000026,13.299999999999974,13.299999999999974
36,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0.5906765691180671,352.8714796432582,160.01124726306531,42.22805946337352,169.60240290612924,44.663589286202345,5.381536059142909,2.022392399620092,25,2.9000000000000448,2.9000000000000448,0,0,0,2.7890440824578397,2.7890440824578397,0,0,1,rule,0,2.9,13.800000000000031,13.799999999999974,13.799999999999974
