tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,0.5150839464366898,0.5150839464366898,28.176951253874332,2.3873113010620792,386.74246819043196,0,0,0,0,0,0,15,14.48491605356331,14.48491605356331,0,0,0,1.9650839464366905,1.9650839464366905,0,0,0.5,agent,0,1.45,0,0,0
1,1,5,7.18777911321778,7.18777911321778,31.42113359321297,0,383.5467983439758,0,0,0,0,0,0,15,7.81222088678222,7.81222088678222,82630.4352198172,0,0,2.856466690292088,2.856466690292088,0,0,0.5575680156115642,agent,5.266228476489009,1.45,0,0,0
2,1,5,8.879892472539069,8.879892472539069,48.288078628938344,0,376.9190228458863,0,0,0,0,0,0,15,6.120107527460931,6.120107527460931,171374.39105410222,0,0,3.1421133593212973,3.1421133593212973,0,0,0.856871955270511,agent,0,1.45,0,0,0
3,1,5,11.819717802442572,11.819717802442572,48.288078628938344,0,370.89377239307754,0,0,0,0,0,0,15,3.1802821975574282,3.1802821975574282,155794.90095827472,0,0,4.389825329903485,4.389825329903485,0,0,0.856871955270511,agent,0,1.45,0.5,0.5,0.5
4,1,5,13.550000000000017,13.550000000000017,48.288078628938344,1.0007700043333998,370.89377239307754,0,0,260.46045219356085,130.23022609678043,0,0,15,1.4499999999999833,1.4499999999999833,0,0,0,0,0,0.3574178586904999,0.3574178586904999,0.856871955270511,agent,3.5377000562479424,1.45,1,1,1
5,1,5,13.54999999999997,13.54999999999997,48.288078628938344,7.774229162298798,370.89377239307754,0,0,228.94511727692674,114.47255863846337,0,0,15,1.4500000000000295,1.4500000000000295,0,0,0,0,0,2.4190925564162136,2.4190925564162136,0.856871955270511,agent,3.869092556416189,1.45,1.5,1.5,1.5
6,1,5,13.029730579722106,13.029730579722106,48.288078628938344,5.170983539076967,370.89377239307754,44.080709494797524,22.040354747398762,228.94511727692677,114.47255863846338,0,0,15,1.9702694202778943,1.9702694202778943,0,0,0,0.9297305797220821,0.9297305797220821,0,0,0.856871955270511,agent,0,1.45,2,2,2
7,2,5,13.550000000000017,13.550000000000017,48.288078628938344,7.345704773218115,370.89377239307754,44.080709494797524,22.040354747398762,224.2976449871283,112.14882249356415,0,0,35,21.44999999999998,21.44999999999998,0,0,0,0,0,0.7766861550504096,0.7766861550504096,0.856871955270511,agent,2.74695557532835,1.45,1.8000000000000067,1.8000000000000023,1.8000000000000023
8,2,5,18.03746941649042,18.03746941649042,48.288078628938344,1.8406354643183032,370.89377239307754,117.4577911303887,58.72889556519435,224.29764498712828,112.14882249356414,0,0,35,16.96253058350958,16.96253058350958,0,0,0,1.966096181749933,1.966096181749933,0,0,0.856871955270511,agent,4.8413732347404554,2.32,1.600000000000002,1.5999999999999968,1.5999999999999968
9,2,5,21.255369463138578,21.255369463138578,48.288078628938344,0,367.3325715640299,68.8906445782447,34.44532228912235,0,0,0,0,35,13.744630536861422,13.744630536861422,92081.96983668616,0,0,3.251958984134141,3.251958984134141,0,0,0.856871955270511,agent,2.2859410625140395,2.32,1.4000000000000006,1.4000000000000028,1.4000000000000028
10,2,5,23.73024895068997,23.73024895068997,52.74367436306525,0,360.139812068589,0.44315222158103246,0.22157611079051623,0,0,0,0,35,11.269751049310031,11.269751049310031,185983.18227361515,0,0,4.794879487551387,4.794879487551387,0,0,0.935936501572593,agent,0,2.32,1.1999999999999953,1.200000000000002,1.200000000000002
11,2,5,26.30949160914484,26.30949160914484,53.891669243003555,0,353.25779343620843,0.030846581857665308,0.015423290928832654,0,0,0,0,35,8.690508390855161,8.690508390855161,177948.35577746434,0,0,4.899242658454868,4.899242658454868,0,0,0.9563076707170981,agent,0,2.32,1.0000000000000002,1.0000000000000002,1.0000000000000002
12,2,5,32.67999999999997,32.67999999999997,53.891669243003555,0,348.3333463129868,0.010310621119551357,0.005155310559775679,0,0,0,0,35,2.3200000000000287,2.3200000000000287,127331.42926514149,0,0,3.5878114754900388,3.5878114754900388,0,0,0.9563076707170981,agent,5.102696915365164,2.32,1.5000000000000002,1.5000000000000002,1.5000000000000002
13,2,5,32.67999999999997,32.67999999999997,53.891669243003555,4.324627820233476,348.3333463129868,0.010310621119551357,0.005155310559775679,109.45404498155544,54.72702249077772,0,0,35,2.3200000000000287,2.3200000000000287,0,0,0,0,0,1.5445099357976702,1.5445099357976702,0.9563076707170981,agent,3.864509935797661,2.32,2,2,2
14,2,5,32.67999999999987,32.67999999999987,53.891669243003555,7.6456219090014175,348.3333463129868,0.010310621119551357,0.005155310559775679,107.89572815020482,53.94786407510241,0,0,35,2.320000000000128,2.320000000000128,0,0,0,0,0,1.1860693174171217,1.1860693174171217,0.9563076707170981,agent,3.5060693174170257,2.32,2.5,2.5,2.5
15,2,5,32.04695914506826,32.04695914506826,53.891669243003555,2.9221363028102147,348.3333463129868,33.78144710226104,16.89072355113052,107.89572815020482,53.94786407510241,0,0,35,2.953040854931743,2.953040854931743,0,0,0,1.6869591450682868,1.6869591450682868,0,0,0.9563076707170981,agent,0,2.32,3,3,3
16,2,5,32.48680915616127,32.48680915616127,53.891669243003555,0,345.9777366422758,37.37577338549474,18.68788669274737,0,0,0,0,35,2.5131908438387285,2.5131908438387285,60908.999255574774,0,0,2.759850011093103,2.759850011093103,0,0,0.9563076707170981,agent,0,2.32,3.5,3.5,3.5
17,3,5,32.67999999999997,32.67999999999997,53.891669243003555,0,342.5282590134775,19.94590847812572,9.97295423906286,0,0,0,0,25,0,0,89193.14304783638,0,0,2.5131908438387285,2.5131908438387285,0,0,0.9563076707170981,agent,0,2.32,3.299999999999994,3.3000000000000065,3.3000000000000065
18,3,5,29.41714261581956,29.41714261581956,53.891669243003555,8.4,342.5282590134775,19.94590847812572,9.97295423906286,195.16041387411735,55.10791476107418,0,0,25,0,0,0,0,0,0,0,3,3,0.9563076707170981,agent,2.637142615819537,2.9,3.7999999999999887,3.800000000000007,3.800000000000007
19,3,5,23.51714261581961,23.51714261581961,53.891669243003555,15.779092702169626,343.02870376731596,19.94590847812572,9.97295423906286,204.78006333542447,57.82423828192438,0.298753740609496,0.0843598112201156,25,1.4828573841803916,1.4828573841803916,0,2649854.0195603925,748245.6433681014,0,0,3,3,0.9563076707170981,agent,0,2.9,4.299999999999985,4.300000000000008,4.300000000000008
20,3,5,22.32656362915823,22.32656362915823,53.891669243003555,15.779092702169626,347.1463508261395,19.94590847812572,9.97295423906286,203.34731326359463,57.419669203262494,2.7071970439265667,0.7644377308728534,25,2.6734363708417703,2.6734363708417703,0,2.165038844317492E7,6113472.180071358,0,0,3,3,0.9563076707170981,agent,4.709421013338645,2.9,4.799999999999981,4.800000000000008,4.800000000000008
21,3,5,19.825493847798718,19.825493847798718,53.891669243003555,14.6620880899763,347.1463508261395,33.52210003755408,13.48517210878447,203.3473132635946,57.419669203262494,2.7071970439265667,0.7644377308728534,25,5.174506152201282,5.174506152201282,0,0,0,0.3989302186404726,0.3989302186404726,0,0,0.9563076707170981,agent,0,2.9,4.600000000000016,4.6000000000000085,4.6000000000000085
22,3,5,17.243576360461766,17.243576360461766,53.891669243003555,13.771457054519622,347.1463508261395,43.54562153823548,16.078299288680736,203.34731326359463,57.41966920326249,2.7071970439265667,0.7644377308728534,25,7.756423639538234,7.756423639538234,0,0,0,0.31808251266310006,0.31808251266310006,0,0,0.9563076707170981,agent,0,2.9,4.399999999999985,4.3999999999999915,4.3999999999999915
