tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,3.5500000000000065,3.5500000000000065,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,11.449999999999994,11.449999999999994,177450,0,0,5,5,0,0,1,rule,0,1.45,0,0,0
1,1,5,10.57213308000327,10.57213308000327,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,4.427866919996729,4.427866919996729,177450,0,0,4.999999999999991,4.999999999999991,0,0,1,rule,3.472133080003278,1.45,0.5,0.5,0.5
2,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,371.6027684605035,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,36567.215916760324,0,0,1.0303526603764877,1.0303526603764877,0,0,1,rule,3.3975142596202206,1.45,1,1,1
3,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,369.61257238207224,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,51460.499999997555,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,1.5,1.5,1.5
4,1,5,13.549999999999974,13.549999999999974,56.353902507748664,5.710992736406441,369.61257238207224,0,0,234.7467398525478,117.3733699262739,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.0396402630023003,2.0396402630023003,1,rule,3.489640263002299,1.45,2,2,2
5,1,5,13.549999999999974,13.549999999999974,56.353902507748664,13.02261281753881,369.61257238207224,0,0,215.20427210534328,107.60213605267164,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.6112928861187035,2.6112928861187035,1,rule,4.061292886118698,1.45,2.5,2.5,2.5
6,1,5,13.549999999999974,13.549999999999974,56.353902507748664,15.402234800236917,369.61257238207224,0,0,211.18962305516445,105.59481152758222,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,0.8498649938207523,0.8498649938207523,1,rule,2.2998649938207274,1.45,3,3,3
7,2,5,13.549999999999974,13.549999999999974,56.353902507748664,11.34223480023711,369.61257238207224,54.339617986148866,27.169808993074433,211.18962305516445,105.59481152758222,0,0,35,21.450000000000024,21.450000000000024,0,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,16.230000000000015,16.230000000000015,56.353902507748664,0,368.3097463037571,157.93287718757298,78.96643859378649,0,0,0,0,35,18.769999999999985,18.769999999999985,33687.173906994634,0,0,5.0000000000000115,5.0000000000000115,0,0,1,rule,0,2.32,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,21.371617814450058,21.371617814450058,56.353902507748664,0,361.44700120571787,17.806931902899574,8.903465951449787,0,0,0,0,35,13.628382185549942,13.628382185549942,177449.99999999994,0,0,4.999999999999973,4.999999999999973,0,0,1,rule,2.461617814450087,2.32,2.3999999999999906,2.400000000000004,2.400000000000004
