tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,3.5500000000000065,3.5500000000000065,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,11.449999999999994,11.449999999999994,177450,0,0,5,5,0,0,1,rule,0,1.45,0,0,0
1,1,5,12.35609223814843,12.35609223814843,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,2.6439077618515707,2.6439077618515707,177450,0,0,4.999999999999998,4.999999999999998,0,0,1,rule,5.25609223814841,1.45,0.5,0.5,0.5
2,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,369.3880849878907,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,93832.2864681118,0,0,2.643907761851576,2.643907761851576,0,0,1,rule,0,1.45,1,1,1
3,1,5,13.549999999999974,13.549999999999974,56.353902507748664,6.410100108881112,369.3880849878907,0,0,231.35667918078306,115.67833959039153,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.28932146745754,2.28932146745754,1,rule,3.7393214674575352,1.45,1.5,1.5,1.5
4,1,5,13.549999999999974,13.549999999999974,56.353902507748664,14.323598905558848,369.3880849878907,0,0,211.09156951725706,105.54578475862853,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.826249570242049,2.826249570242049,1,rule,4.276249570242031,1.45,2,2,2
5,1,5,13.549999999999974,13.549999999999974,56.353902507748664,15.779092702169626,370.31110353618226,0,0,205.27926152952134,102.63963076476067,0.5116686055643015,0.25583430278215075,15,1.450000000000026,1.450000000000026,0,4899295.566320836,2449647.783160418,0,0,1.1923041554019633,1.1923041554019633,1,rule,2.64230415540195,1.45,2.5,2.5,2.5
6,1,5,13.549999999999974,13.549999999999974,56.353902507748664,15.779092702169626,371.93490971035175,0,0,198.66485938447624,99.33242969223812,1.3767725961221233,0.6883862980610617,15,1.450000000000026,1.450000000000026,0,8341293.025522803,4170646.5127614015,0,0,1.1830587840377949,1.1830587840377949,1,rule,2.633058784037786,1.45,3,3,3
7,2,5,13.549999999999974,13.549999999999974,56.353902507748664,11.719092702169817,371.93490971035175,51.11696498177177,25.558482490885886,198.66485938447622,99.33242969223811,1.3767725961221233,0.6883862980610617,35,21.450000000000024,21.450000000000024,0,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,19.593072536936507,19.593072536936507,56.353902507748664,0,370.8168178976899,153.51034812510036,76.75517406255018,0,0,1.3767725961221233,0.6883862980610617,35,15.406927463063493,15.406927463063493,28910.499999997555,0,0,4.999999999999973,4.999999999999973,0,0,1,rule,3.3630725369365284,2.32,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,22.273072536936528,22.273072536936528,56.353902507748664,0,363.95407279965065,18.529833237013722,9.264916618506861,0,0,1.3767725961221233,0.6883862980610617,35,12.726927463063472,12.726927463063472,177450,0,0,5.000000000000027,5.000000000000027,0,0,1,rule,0,2.32,2.3999999999999906,2.400000000000004,2.400000000000004
10,2,5,28.979518363003983,28.979518363003983,56.353902507748664,0,357.0913277016115,3.3107801833826302,1.6553900916913151,0,0,1.3767725961221233,0.6883862980610617,35,6.020481636996017,6.020481636996017,177450,0,0,5.000000000000006,5.000000000000006,0,0,1,rule,4.026445826067417,2.32,2.1999999999999926,2.1999999999999957,2.1999999999999957
11,2,5,31.65951836300393,31.65951836300393,56.353902507748664,0,350.22858260357225,1.5948319515857723,0.7974159757928861,0,0,1.3767725961221233,0.6883862980610617,35,3.3404816369960706,3.3404816369960706,177450,0,0,4.999999999999954,4.999999999999954,0,0,1,rule,0,2.32,2.6999999999999975,2.6999999999999944,2.6999999999999944
12,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0,345.6436078076954,1.4655732418448684,0.7327866209224342,0,0,1.3767725961221233,0.6883862980610617,35,2.320000000000057,2.320000000000057,118553.69329698826,0,0,3.340481636996085,3.340481636996085,0,0,1,rule,0,2.32,3.200000000000004,3.1999999999999935,3.1999999999999935
