tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,6.150782961935429,6.150782961935429,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,8.849217038064571,8.849217038064571,177450,0,0,4.999999999999994,4.999999999999994,0,0,1,rule,2.600782961935437,1.45,0,0,0
1,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,374.1647064223632,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,147773.1860369537,0,0,4.16379785959295,4.16379785959295,0,0,1,rule,4.685419178471597,1.45,0.5,0.5,0.5
2,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,372.17451034393196,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,51460.499999997555,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,1,1,1
3,1,5,13.549999999999974,13.549999999999974,56.353902507748664,7.660314314977846,372.17451034393196,0,0,225.532201205219,112.7661006026095,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.7358265410635165,2.7358265410635165,1,rule,4.185826541063566,1.45,1.5,1.5,1.5
4,1,5,13.549999999999974,13.549999999999974,56.353902507748664,14.092907639981856,372.17451034393196,0,0,211.85987472138584,105.92993736069292,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,2.297354758930003,2.297354758930003,1,rule,3.7473547589300296,1.45,2,2,2
5,1,5,13.549999999999974,13.549999999999974,56.353902507748664,10.032907639982048,372.17451034393196,54.51207541549679,27.256037707748394,211.85987472138586,105.92993736069293,0,0,15,1.450000000000026,1.450000000000026,0,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.5,2.5,2.5
6,1,5,13.549999999999974,13.549999999999974,56.353902507748664,14.318504278174265,372.17451034393196,54.51207541549679,27.256037707748394,201.5666499090856,100.7833249545428,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,1.5305702279257918,1.5305702279257918,1,rule,2.9805702279257957,1.45,3,3,3
7,2,5,13.549999999999974,13.549999999999974,56.353902507748664,10.258504278174458,372.17451034393196,92.3495850691312,46.1747925345656,201.5666499090856,100.7833249545428,0,0,35,21.450000000000024,21.450000000000024,0,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,18.689238353254776,18.689238353254776,56.353902507748664,0,370.3404438136253,141.45748779127408,70.72874389563704,0,0,0,0,35,16.310761646745224,16.310761646745224,47423.45827413874,0,0,4.999999999999964,4.999999999999964,0,0,1,rule,2.4592383532548068,2.32,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,25.617937602384995,25.617937602384995,56.353902507748664,0,363.4776987155861,15.949331748466156,7.974665874233078,0,0,0,0,35,9.382062397615005,9.382062397615005,177450,0,0,5,5,0,0,1,rule,4.248699249130164,2.32,2.3999999999999906,2.400000000000004,2.400000000000004
10,2,5,29.453537256859242,29.453537256859242,56.353902507748664,0,356.61495361754686,1.7982871546396146,0.8991435773198073,0,0,0,0,35,5.546462743140758,5.546462743140758,177450,0,0,4.9999999999999805,4.9999999999999805,0,0,1,rule,1.1555996544742437,2.32,2.1999999999999926,2.1999999999999957,2.1999999999999957
11,2,5,32.133537256859206,32.133537256859206,56.353902507748664,0,349.75220851950763,0.20275687668561557,0.10137843834280778,0,0,0,0,35,2.8664627431407936,2.8664627431407936,177450,0,0,5.0000000000000036,5.0000000000000036,0,0,1,rule,0,2.32,2.6999999999999975,2.6999999999999944,2.6999999999999944
12,2,5,32.67999999999994,32.67999999999994,56.353902507748664,0.7854182486812523,349.75220851950763,0.20275687668561557,0.10137843834280778,113.34467048831114,56.67233524415557,0,0,35,2.320000000000057,2.320000000000057,0,0,0,0,0,0.28050651738616156,0.28050651738616156,1,rule,3.146969260526983,2.32,3.200000000000004,3.1999999999999935,3.1999999999999935
13,2,5,32.67999999999994,32.67999999999994,56.353902507748664,6.7559618529250125,349.75220851950763,0.20275687668561557,0.10137843834280778,107.59250529565992,53.79625264782996,0,0,35,2.320000000000057,2.320000000000057,0,0,0,0,0,2.1323370015156287,2.1323370015156287,1,rule,4.452337001515656,2.32,3.7000000000000104,3.699999999999993,3.699999999999993
14,2,5,32.67999999999994,32.67999999999994,56.353902507748664,9.705826408714202,349.75220851950763,0.20275687668561557,0.10137843834280778,106.41370872833154,53.20685436416577,0,0,35,2.320000000000057,2.320000000000057,0,0,0,0,0,1.0535230556389967,1.0535230556389967,1,rule,3.3735230556390277,2.32,4.200000000000014,4.199999999999992,4.199999999999992
15,2,5,32.67999999999994,32.67999999999994,56.353902507748664,15.69407105254803,349.75220851950763,0.20275687668561557,0.10137843834280778,103.10473503943666,51.55236751971833,0,0,35,2.320000000000057,2.320000000000057,0,0,0,0,0,2.138658801369224,2.138658801369224,1,rule,4.458658801369188,2.32,4.700000000000018,4.699999999999992,4.699999999999992
16,2,5,32.67999999999994,32.67999999999994,56.353902507748664,9.198071052548201,349.75220851950763,42.565854854638495,21.282927427319247,103.10473503943668,51.55236751971834,0,0,35,2.320000000000057,2.320000000000057,0,0,0,2.320000000000001,2.320000000000001,0,0,1,rule,0,2.32,5.200000000000021,5.199999999999996,5.199999999999996
17,3,5,32.67999999999994,32.67999999999994,56.353902507748664,13.489700492203843,349.75220851950763,42.565854854638495,21.282927427319247,100.09795644972893,50.04897822486446,0,0,25,0,0,0,0,0,0,0,1.5327247998770155,1.5327247998770155,1,rule,3.852724799877079,2.32,4.999999999999999,4.999999999999999,4.999999999999999
18,3,5,26.78000000000004,26.78000000000004,56.353902507748664,15.779092702169626,352.7476044950146,42.565854854638495,21.282927427319247,135.40360072966973,50.08817811897563,1.14979491150745,0.4253294005294318,25,0,0,0,1.0487273419765709E7,3879427.254525897,0,0,3.000000000000026,3.000000000000026,1,rule,0,2.9,5.499999999999999,5.499999999999999,5.499999999999999
19,3,5,24.942294287060125,24.942294287060125,56.353902507748664,15.779092702169626,356.86525155383816,42.565854854638495,21.282927427319247,152.5858804331675,49.45346534147081,2.8971220873334653,0.9910346881073114,25,0.05770571293987459,0.05770571293987459,0,1.6245818689719254E7,5265310.45490637,0,0,2.9999999999999836,2.9999999999999836,1,rule,4.062294287060142,2.9,5.999999999999999,5.999999999999999,5.999999999999999
20,3,5,23.256228011065712,23.256228011065712,56.353902507748664,15.779092702169626,360.9828986126617,42.565854854638495,21.282927427319247,160.90469997699626,48.28367851347841,4.699477381364508,1.5304907579098888,25,1.743771988934288,1.743771988934288,0,1.7131523406550847E7,5140763.251330063,0,0,3.0000000000000098,3.0000000000000098,1,rule,4.213933724005568,2.9,6.499999999999999,6.499999999999999,6.499999999999999
21,3,5,22.099999999999955,22.099999999999955,56.353902507748664,10.896531133153484,360.9828986126617,79.1837205470514,29.637833002449423,160.90469997699626,48.2836785134784,4.699477381364508,1.5304907579098888,25,2.9000000000000448,2.9000000000000448,0,0,0,1.7437719889343128,1.7437719889343128,0,0,1,rule,0,2.9,6.999999999999999,6.999999999999999,6.999999999999999
22,3,5,22.099999999999955,22.099999999999955,56.353902507748664,15.779092702169626,361.4613239591732,79.1837205470514,29.637833002449423,165.19384758380818,47.43752413087853,4.911905571014839,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,2043554.3099690229,586832.7320285644,0,0,2.092339027107045,2.092339027107045,1,rule,4.992339027107018,2.9,7.499999999999999,7.499999999999999,7.499999999999999
23,3,5,22.099999999999955,22.099999999999955,56.353902507748664,11.914526037521444,361.4613239591732,100.24905529362373,33.99727839480082,165.1938475838082,47.43752413087853,4.911905571014839,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,1.3802023802315198,1.3802023802315198,0,0,1,rule,1.5197976197684224,2.9,7.999999999999999,7.999999999999999,7.999999999999999
24,3,5,22.099999999999955,22.099999999999955,56.353902507748664,3.794526037521347,361.4613239591732,133.66997013011564,40.91369605181556,165.19384758380818,47.43752413087853,4.911905571014839,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,8.5,8.5,8.5
25,3,5,23.351577417721682,23.351577417721682,56.353902507748664,12.194526037521348,361.4613239591732,133.66997013011564,40.91369605181556,162.77107284459734,45.04661529948469,4.911905571014839,1.591252689804049,25,1.648422582278318,1.648422582278318,0,0,0,0,0,3,3,1,rule,7.151577417721624,2.9,9,9,9
26,3,5,22.099999999999955,22.099999999999955,56.353902507748664,7.578942807141877,361.4613239591732,142.18240897623937,42.12262695374496,162.77107284459734,45.046615299484685,4.911905571014839,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,1.6484225822783183,1.6484225822783183,0,0,1,rule,0,2.9,9.5,9.5,9.5
27,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,361.19609984502705,147.3645264935457,42.137263337695785,0,0,4.911905571014839,1.591252689804049,25,2.9000000000000448,2.9000000000000448,6857.89991947799,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,10,10,10
28,3,5,22.099999999999955,22.099999999999955,56.353902507748664,3.1098253628761827,361.19609984502705,147.3645264935457,42.137263337695785,186.7797206757307,51.46522366092373,4.911905571014839,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.1106519153129224,1.1106519153129224,1,rule,4.010651915312859,2.9,10.5,10.5,10.5
29,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,358.7401318856526,109.9011470112682,31.101504192710514,0,0,4.911905571014839,1.5912526898040489,25,2.9000000000000448,2.9000000000000448,63503.96352554555,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,11,11,11
30,3,5,22.099999999999955,22.099999999999955,56.353902507748664,0,358.4317944232221,105.71591795695095,29.925124972364795,0,0,4.91190557101484,1.5912526898040489,25,2.9000000000000448,2.9000000000000448,7972.681766066002,0,0,0.2246458654850026,0.2246458654850026,0,0,1,rule,2.675354134514964,2.9,11.5,11.5,11.5
31,3,6,22.099999999999955,22.099999999999955,56.353902507748664,0,354.45140226635925,53.84166916308688,15.344372626397789,0,0,4.91190557101484,1.591252689804049,25,2.9000000000000448,2.9000000000000448,102921.00000000116,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,12,12,12
32,3,6,22.099999999999955,22.099999999999955,56.353902507748664,6.120265036274622,354.45140226635925,53.84166916308688,15.344372626397789,199.66722916956613,55.27142286556303,4.91190557101484,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,2.1858089415266506,2.1858089415266506,1,rule,5.085808941526705,2.9,12.5,12.5,12.5
33,3,6,22.099999999999955,22.099999999999955,56.353902507748664,9.200720835437481,354.45140226635925,53.84166916308688,15.344372626397789,196.8494065356982,54.49139968897853,4.91190557101484,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.100162785415307,1.100162785415307,1,rule,4.0001627854153465,2.9,13,13,13
34,3,6,22.099999999999955,22.099999999999955,56.353902507748664,13.78306994430201,354.45140226635925,53.84166916308688,15.344372626397789,191.08153839275877,52.894751703792764,4.91190557101484,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,0,0,1.6365532531659026,1.6365532531659026,1,rule,4.536553253165848,2.9,13.5,13.5,13.5
35,3,6,22.099999999999955,22.099999999999955,56.353902507748664,5.663069944301913,354.45140226635925,124.46599206802364,34.667985451521034,191.08153839275877,52.89475170379276,4.91190557101484,1.591252689804049,25,2.9000000000000448,2.9000000000000448,0,0,0,2.8999999999999706,2.8999999999999706,0,0,1,rule,0,2.9,14,14,14
