tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,4.004108136157473,4.004108136157473,28.176951253874332,3.7253805175662986,386.74246819043196,0,0,0,0,0,0,15,10.995891863842527,10.995891863842527,0,0,0,1.4872020833994692,1.4872020833994692,0,0,0.5,agent,3.96690605275801,1.45,0,0,0
1,1,5,4.2879394728188185,4.2879394728188185,28.176951253874332,0,386.1888666095078,0,0,0,0,0,0,15,10.712060527181182,10.712060527181182,14314.476077957763,0,0,1.7338313366613298,1.7338313366613298,0,0,0.5,agent,0,1.45,0,0,0
2,1,5,8.078196658492514,8.078196658492514,48.28807862893834,0,379.56109111141825,0,0,0,0,0,0,15,6.921803341507486,6.921803341507486,171374.39105410216,0,0,2.817695125387433,2.817695125387433,0,0,0.8568719552705109,agent,2.42256206028626,1.45,0,0,0
3,1,5,11.018021988395965,11.018021988395965,48.288078628938344,0,373.5358406586095,0,0,0,0,0,0,15,3.981978011604035,3.981978011604035,155794.90095827472,0,0,4.389825329903485,4.389825329903485,0,0,0.856871955270511,agent,0,1.45,0.5,0.5,0.5
4,1,5,13.549999999999962,13.549999999999962,48.288078628938344,0,372.05578387410776,0,0,0,0,0,0,15,1.4500000000000384,1.4500000000000384,38269.82827686117,0,0,1.0783270858512584,1.0783270858512584,0,0,0.856871955270511,agent,2.903650925752735,1.45,1,1,1
5,1,5,13.550000000000017,13.550000000000017,48.288078628938344,0,370.0655877956763,0,0,0,0,0,0,15,1.4499999999999833,1.4499999999999833,51460.5000000014,0,0,1.4500000000000384,1.4500000000000384,0,0,0.856871955270511,agent,0,1.45,1.5,1.5,1.5
6,1,5,14.210990038980988,14.210990038980988,48.288078628938344,8.4,370.0655877956763,0,0,214.3508994777008,107.1754497388504,0,0,15,0.789009961019012,0.789009961019012,0,0,0,0,0,3,3,0.856871955270511,agent,5.1109900389809875,1.45,2,2,2
7,2,5,12.760990038981005,12.760990038981005,48.288078628938344,8.4,370.0655877956763,0,0,214.3508994777008,107.1754497388504,0,0,35,22.239009961018994,22.239009961018994,0,0,0,0,0,0,0,0.856871955270511,agent,0,1.45,1.8000000000000067,1.8000000000000023,1.8000000000000023
8,2,5,12.424481596006673,12.424481596006673,48.288078628938344,2.846223640328142,370.0655877956763,88.04723886861842,44.02361943430921,214.35089947770084,107.17544973885042,0,0,35,22.57551840399333,22.57551840399333,0,0,0,1.9834915570256635,1.9834915570256635,0,0,0.856871955270511,agent,0,2.32,1.600000000000002,1.5999999999999968,1.5999999999999968
9,2,5,13.34430108000817,13.34430108000817,48.288078628938344,0,367.01398440603117,74.09603955946109,37.048019779730545,0,0,0,0,35,21.655698919991828,21.655698919991828,78905.30884605402,0,0,3.2398194840014995,3.2398194840014995,0,0,0.856871955270511,agent,0,2.32,1.4000000000000006,1.4000000000000028,1.4000000000000028
10,2,5,19.573394336162433,19.573394336162433,51.150470231420286,0,360.2386955119304,2.58957287040728,1.29478643520364,0,0,0,0,35,15.426605663837567,15.426605663837567,175188.64493476343,0,0,4.650042748310935,4.650042748310935,0,0,0.907665094256553,agent,3.8990505078433078,2.32,1.1999999999999953,1.200000000000002,1.200000000000002
11,2,5,22.048273823713775,22.048273823713775,52.74367436306525,0,353.4388132952615,0.15719366808681698,0.07859683404340849,0,0,0,0,35,12.951726176286225,12.951726176286225,175824.55447640666,0,0,4.794879487551387,4.794879487551387,0,0,0.935936501572593,agent,0,2.32,1.0000000000000002,1.0000000000000002,1.0000000000000002
12,2,5,26.038309750778524,26.038309750778524,53.891669243003555,0,346.556794662881,0.010941809865800338,0.005470904932900169,0,0,0,0,35,8.961690249221476,8.961690249221476,177948.35577746434,0,0,4.899242658454868,4.899242658454868,0,0,0.9563076707170981,agent,1.4107932686098987,2.32,0.8000000000000013,0.7999999999999985,0.7999999999999985
13,2,5,31.655362681208665,31.655362681208665,55.00000000000001,0,339.5419257354501,7.742164530459646E-4,3.871082265229823E-4,0,0,0,0,35,3.344637318791335,3.344637318791335,181383.46585658053,0,0,5,5,0,0,0.9759750000000001,agent,2.9370529304300663,2.32,1.3000000000000052,1.299999999999999,1.299999999999999
14,2,5,32.05164296438394,32.05164296438394,55.00000000000001,0,339.5419257354501,7.742164530459646E-4,3.871082265229823E-4,0,0,0,0,35,2.9483570356160627,2.9483570356160627,0,0,0,0,0,0,0,0.9759750000000001,agent,2.71628028317523,2.32,1.8000000000000067,1.8000000000000023,1.8000000000000023
