tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,7.176535765863522,7.176535765863522,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,7.823464234136478,7.823464234136478,177450,0,0,5.000000000000018,5.000000000000018,0,0,1,rule,3.62653576586353,1.45,0,0,0
1,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,375.83249191038965,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,104649.25667305535,0,0,2.948697004030854,2.948697004030854,0,0,1,rule,4.874767230105634,1.45,0.5,0.5,0.5
2,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,373.8422958319583,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,51460.499999997555,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,1,1,1
3,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,371.85209975352706,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,51460.499999997555,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,1.5,1.5,1.5
4,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,369.86190367509573,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,51460.499999997555,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2,2,2
5,1,5,13.549999999999974,13.549999999999974,56.353902507748664,0,367.87170759666446,0,0,0,0,0,0,15,1.450000000000026,1.450000000000026,51460.499999997555,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.5,2.5,2.5
6,1,5,13.549999999999974,13.549999999999974,56.353902507748664,3.6658320643965254,367.87170759666446,0,0,245.259956814235,122.6299784071175,0,0,15,1.450000000000026,1.450000000000026,0,0,0,0,0,1.3092257372844733,1.3092257372844733,1,rule,2.7592257372844755,1.45,3,3,3
7,2,5,13.549999999999974,13.549999999999974,56.353902507748664,0,367.67848802038833,56.97930994970998,28.48965497485499,0,0,0,0,35,21.450000000000024,21.450000000000024,4996.078583771596,0,0,1.4499999999999753,1.4499999999999753,0,0,1,rule,0,1.45,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,20.78863318240657,20.78863318240657,56.353902507748664,0,360.8157429223491,6.424417196829803,3.2122085984149016,0,0,0,0,35,14.21136681759343,14.21136681759343,177450,0,0,5,5,0,0,1,rule,4.558633182406589,2.32,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,23.468633182406574,23.468633182406574,56.353902507748664,0,353.95299782430993,0.7243530389425682,0.3621765194712841,0,0,0,0,35,11.531366817593426,11.531366817593426,177450,0,0,4.999999999999994,4.999999999999994,0,0,1,rule,0,2.32,2.3999999999999906,2.400000000000004,2.400000000000004
