tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,2.6885556594773963,2.6885556594773963,28.176951253874332,3.7253805175662986,386.74246819043196,0,0,0,0,0,0,15,12.311444340522604,12.311444340522604,0,0,0,1.4872020833994692,1.4872020833994692,0,0,0.5,agent,2.951353576077923,1.75,0,0,0
1,1,5,2.6723869961387225,2.6723869961387225,28.176951253874332,0,386.1888666095078,0,0,0,0,0,0,15,12.327613003861277,12.327613003861277,14314.476077957763,0,0,1.7338313366613298,1.7338313366613298,0,0,0.5,agent,0,1.75,0,0,0
2,1,5,6.048970374591739,6.048970374591739,43.56702133025816,0,380.2090793680998,0,0,0,0,0,0,15,8.95102962540826,8.95102962540826,154619.3587010862,0,0,2.8176951253874334,2.8176951253874334,0,0,0.7730967935054309,agent,2.3088882530655845,1.75,0,0,0
3,1,5,8.259608677342491,8.259608677342491,43.56702133025816,0,374.77290914863806,0,0,0,0,0,0,15,6.7403913226575085,6.7403913226575085,140563.0533646238,0,0,3.9606383027507417,3.9606383027507417,0,0,0.7730967935054309,agent,0,1.75,0,0,0
4,1,5,10.866310810368303,10.866310810368303,48.288078628938344,0,368.14513365054853,0,0,0,0,0,0,15,4.133689189631697,4.133689189631697,171374.39105410216,0,0,4.3567021330258155,4.3567021330258155,0,0,0.856871955270511,agent,0,1.75,0.5,0.5,0.5
5,1,5,12.347997738323352,12.347997738323352,48.288078628938344,0,368.14513365054853,0,0,0,0,0,0,15,2.652002261676648,2.652002261676648,0,0,0,0,0,0,0,0.856871955270511,agent,3.2316869279550877,1.75,1,1,1
6,1,5,13.25,13.25,48.288078628938344,3.312920142308677,368.14513365054853,0,0,247.1701220055021,123.58506100275105,0,0,15,1.75,1.75,0,0,0,0,0,1.1831857651102418,1.1831857651102418,0.856871955270511,agent,3.8351880267868554,1.75,1.5,1.5,1.5
7,2,5,12.975561834156144,12.975561834156144,48.28807862893834,0,367.74383316362275,60.56322351625147,30.281611758125734,0,0,0,0,35,22.024438165843854,22.024438165843854,10376.42669043853,0,0,1.4755618341561292,1.4755618341561292,0,0,0.8568719552705109,agent,0,1.75,1.3000000000000052,1.299999999999999,1.299999999999999
8,2,5,14.825604582467102,14.825604582467102,51.150470231420286,0,360.968544269522,2.116616238796948,1.058308119398474,0,0,0,0,35,20.1743954175329,20.1743954175329,175188.64493476355,0,0,4.650042748310935,4.650042748310935,0,0,0.907665094256553,agent,0,2.8000000000000003,1.0999999999999963,1.0999999999999979,1.0999999999999979
9,2,5,22.027351161363644,22.027351161363644,52.74367436306525,0,354.1686620528531,0.12848399607163227,0.06424199803581614,0,0,0,0,35,12.972648838636356,12.972648838636356,175824.55447640677,0,0,4.794879487551387,4.794879487551387,0,0,0.935936501572593,agent,5.206867091345206,2.8000000000000003,0.9000000000000034,0.9000000000000011,0.9000000000000011
