tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,6.427142727206492,6.427142727206492,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,8.572857272793508,8.572857272793508,177450,0,0,5.000000000000007,5.000000000000007,0,0,1,rule,3.1771427272064847,1.75,0,0,0
1,1,5,13.25,13.25,56.353902507748664,0,374.30916387381205,0,0,0,0,0,0,15,1.75,1.75,144037.94971484086,0,0,4.058550287823076,4.058550287823076,0,0,1,rule,4.514306984970423,1.75,0.5,0.5,0.5
2,1,5,13.25,13.25,56.353902507748664,0,371.90720308949835,0,0,0,0,0,0,15,1.75,1.75,62107.5,0,0,1.75,1.75,0,0,1,rule,0,1.75,1,1,1
3,1,5,13.25,13.25,56.353902507748664,0,369.5052423051846,0,0,0,0,0,0,15,1.75,1.75,62107.5,0,0,1.75,1.75,0,0,1,rule,0,1.75,1.5,1.5,1.5
4,1,5,13.25,13.25,56.353902507748664,5.6810585175218575,369.5052423051846,0,0,234.89411410370053,117.44705705185027,0,0,15,1.75,1.75,0,0,0,0,0,2.0289494705435205,2.0289494705435205,1,rule,3.778949470543527,1.75,2,2,2
5,1,5,13.25,13.25,56.353902507748664,0.7810585175218572,369.5052423051846,72.9434309584779,36.47171547923895,234.89411410370053,117.44705705185027,0,0,15,1.75,1.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.5,2.5,2.5
6,1,5,13.25,13.25,56.353902507748664,6.57868435615986,369.5052423051846,72.9434309584779,36.47171547923895,209.78524645801133,104.89262322900566,0,0,15,1.75,1.75,0,0,0,0,0,2.0705806566564293,2.0705806566564293,1,rule,3.820580656656445,1.75,3,3,3
7,2,5,13.25,13.25,56.353902507748664,1.6786843561598594,369.5052423051846,115.43794623916426,57.71897311958213,209.7852464580113,104.89262322900565,0,0,35,21.75,21.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,21.029427907015986,21.029427907015986,56.353902507748664,0,363.4653816954591,35.33397195981282,17.66698597990641,0,0,0,0,35,13.970572092984014,13.970572092984014,156172.67578567378,0,0,5.000000000000006,5.000000000000006,0,0,1,rule,5.579427907015976,2.8000000000000003,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,23.229427907016042,23.229427907016042,56.353902507748664,0,356.60263659741986,3.9839053384688916,1.9919526692344458,0,0,0,0,35,11.770572092983958,11.770572092983958,177450,0,0,5,5,0,0,1,rule,0,2.8000000000000003,2.3999999999999906,2.400000000000004,2.400000000000004
10,2,5,25.429427907015942,25.429427907015942,56.353902507748664,0,349.73989149938063,0.44918532691236995,0.22459266345618498,0,0,0,0,35,9.570572092984058,9.570572092984058,177450,0,0,4.9999999999999964,4.9999999999999964,0,0,1,rule,0,2.8000000000000003,2.1999999999999926,2.1999999999999957,2.1999999999999957
11,2,5,27.62942790701602,27.62942790701602,56.353902507748664,0,342.8771464013414,0.05064564560936997,0.025322822804684984,0,0,0,0,35,7.370572092983981,7.370572092983981,177450,0,0,4.9999999999999964,4.9999999999999964,0,0,1,rule,0,2.8000000000000003,1.9999999999999998,1.9999999999999998,1.9999999999999998
12,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,340.56349547306684,0.035496501848995804,0.017748250924497902,0,0,0,0,35,2.800000000000054,2.800000000000054,59824.07205239544,0,0,1.6856599620285004,1.6856599620285004,0,0,1,rule,5.684912130955493,2.8000000000000003,2.4999999999999996,2.4999999999999996,2.4999999999999996
13,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,336.72035821816485,0.017859709940303625,0.008929854970151812,0,0,0,0,35,2.800000000000054,2.800000000000054,99372.0000000014,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,2.9999999999999996,2.9999999999999996,2.9999999999999996
14,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,332.8772209632628,0.008985934459364303,0.004492967229682151,0,0,0,0,35,2.800000000000054,2.800000000000054,99372.0000000014,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.4999999999999996,3.4999999999999996,3.4999999999999996
15,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,329.03408370836075,0.004521183063884523,0.0022605915319422617,0,0,0,0,35,2.800000000000054,2.800000000000054,99372.0000000014,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.9999999999999996,3.9999999999999996,3.9999999999999996
