tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,7.559584796007583,7.559584796007583,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,7.440415203992417,7.440415203992417,177450,0,0,4.999999999999999,4.999999999999999,0,0,1,rule,4.309584796007569,1.75,0,0,0
1,1,5,10.809584796007583,10.809584796007583,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,4.190415203992417,4.190415203992417,177450,0,0,5.000000000000025,5.000000000000025,0,0,1,rule,0,1.75,0.5,0.5,0.5
2,1,5,13.25,13.25,56.353902507748664,0,371.870787070204,0,0,0,0,0,0,15,1.75,1.75,29637.058725735114,0,0,0.8350819590232393,0.8350819590232393,0,0,1,rule,3.35533324496921,1.75,1,1,1
3,1,5,13.25,13.25,56.353902507748664,3.8729131180937615,371.870787070204,0,0,244.1527960338398,122.0763980169199,0,0,15,1.75,1.75,0,0,0,0,0,1.3831832564620576,1.3831832564620576,1,rule,3.133183256462053,1.75,1.5,1.5,1.5
4,1,5,13.25,13.25,56.353902507748664,11.833118522433955,371.870787070204,0,0,217.9838144731492,108.9919072365746,0,0,15,1.75,1.75,0,0,0,0,0,2.8429305015500694,2.8429305015500694,1,rule,4.592930501550031,1.75,2,2,2
5,1,5,13.25,13.25,56.353902507748664,6.933118522433955,371.870787070204,67.69214878695557,33.846074393477785,217.9838144731492,108.9919072365746,0,0,15,1.75,1.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.5,2.5,2.5
6,1,5,13.25,13.25,56.353902507748664,10.66022597662457,371.870787070204,67.69214878695557,33.846074393477785,207.683201263114,103.841600631557,0,0,15,1.75,1.75,0,0,0,0,0,1.3311098050680767,1.3311098050680767,1,rule,3.0811098050680528,1.75,3,3,3
7,2,5,13.25,13.25,56.353902507748664,5.76022597662457,371.870787070204,111.16462024527061,55.582310122635306,207.68320126311397,103.84160063155699,0,0,35,21.75,21.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,15.450000000000028,15.450000000000028,56.353902507748664,0,367.83168215678467,88.34946100864667,44.174730504323335,0,0,0,0,35,19.549999999999972,19.549999999999972,104439.13574628357,0,0,5,5,0,0,1,rule,0,2.8000000000000003,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,22.857457170437247,22.857457170437247,56.353902507748664,0,360.96893705874544,9.961401728724866,4.980700864362433,0,0,0,0,35,12.142542829562753,12.142542829562753,177449.99999999994,0,0,5.0000000000000036,5.0000000000000036,0,0,1,rule,5.20745717043724,2.8000000000000003,2.3999999999999906,2.400000000000004,2.400000000000004
