tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,6.861224991289727,6.861224991289727,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,8.138775008710272,8.138775008710272,177450,0,0,5.000000000000002,5.000000000000002,0,0,1,rule,3.6112249912897196,1.75,0,0,0
1,1,5,10.111224991289735,10.111224991289735,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,4.888775008710265,4.888775008710265,177450,0,0,5,5,0,0,1,rule,0,1.75,0.5,0.5,0.5
2,1,5,13.25,13.25,56.353902507748664,0,366.30689464906493,0,0,0,0,0,0,15,1.75,1.75,173502.62505912746,0,0,4.888775008710271,4.888775008710271,0,0,1,rule,0,1.75,1,1,1
3,1,5,13.25,13.25,56.353902507748664,4.430074411296392,366.30689464906493,0,0,241.22296037662716,120.61148018831358,0,0,15,1.75,1.75,0,0,0,0,0,1.5821694326058544,1.5821694326058544,1,rule,3.3321694326058413,1.75,1.5,1.5,1.5
4,1,5,13.25,13.25,56.353902507748664,6.634539263154319,366.30689464906493,0,0,237.22583201938767,118.61291600969383,0,0,15,1.75,1.75,0,0,0,0,0,0.7873088756635455,0.7873088756635455,1,rule,2.5373088756635527,1.75,2,2,2
5,1,5,13.565761935444945,13.565761935444945,56.353902507748664,15.03453926315432,366.30689464906493,0,0,209.55599703872772,104.77799851936386,0,0,15,1.4342380645550552,1.4342380645550552,0,0,0,0,0,3,3,1,rule,5.065761935444978,1.75,2.5,2.5,2.5
6,1,5,13.25,13.25,56.353902507748664,11.01867268240016,366.30689464906493,53.333163141169166,26.666581570584583,209.5559970387277,104.77799851936385,0,0,15,1.75,1.75,0,0,0,1.4342380645550459,1.4342380645550459,0,0,1,rule,0,1.75,3,3,3
7,2,5,13.25,13.25,56.353902507748664,6.118672682400159,366.30689464906493,101.84621142263227,50.92310571131613,209.55599703872772,104.77799851936386,0,0,35,21.75,21.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.800000000000001,2.8000000000000056,2.8000000000000056
8,2,5,18.065306743055558,18.065306743055558,56.353902507748664,0,362.44349890514343,92.74287398022604,46.37143699011302,0,0,0,0,35,16.934693256944442,16.934693256944442,99895.82375057798,0,0,5,5,0,0,1,rule,2.615306743055584,2.8000000000000003,2.6000000000000103,2.599999999999998,2.599999999999998
9,2,5,20.265306743055586,20.265306743055586,56.353902507748664,0,355.58075380710426,10.456759041270642,5.228379520635321,0,0,0,0,35,14.734693256944414,14.734693256944414,177450,0,0,4.99999999999999,4.99999999999999,0,0,1,rule,0,2.8000000000000003,2.3999999999999906,2.400000000000004,2.400000000000004
10,2,5,22.465306743055592,22.465306743055592,56.353902507748664,0,348.71800870906503,1.1789995819033008,0.5894997909516504,0,0,0,0,35,12.534693256944408,12.534693256944408,177450,0,0,4.9999999999999805,4.9999999999999805,0,0,1,rule,0,2.8000000000000003,2.1999999999999926,2.1999999999999957,2.1999999999999957
11,2,5,24.665306743055638,24.665306743055638,56.353902507748664,0,341.8552636110258,0.1329322028595957,0.06646610142979785,0,0,0,0,35,10.334693256944362,10.334693256944362,177450,0,0,5.000000000000006,5.000000000000006,0,0,1,rule,0,2.8000000000000003,1.9999999999999998,1.9999999999999998,1.9999999999999998
12,2,5,29.156995231922785,29.156995231922785,56.353902507748664,0,334.9925185129866,0.014988105872419728,0.007494052936209864,0,0,0,0,35,5.843004768077215,5.843004768077215,177450,0,0,4.999999999999987,4.999999999999987,0,0,1,rule,2.2916884888671705,2.8000000000000003,1.8000000000000067,1.8000000000000023,1.8000000000000023
13,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,329.6753270980944,0.004684785908204965,0.0023423929541024823,0,0,0,0,35,2.800000000000054,2.800000000000054,137486.6184148672,0,0,3.8739537451356423,3.8739537451356423,0,0,1,rule,1.9690510229415525,2.8000000000000003,2.300000000000008,2.3000000000000043,2.3000000000000043
14,2,5,32.199999999999946,32.199999999999946,56.353902507748664,6.657417473528953,329.6753270980944,0.004684785908204965,0.0023423929541024823,107.01511989020435,53.50755994510217,0,0,35,2.800000000000054,2.800000000000054,0,0,0,0,0,2.377649097688912,2.377649097688912,1,rule,5.17764909768886,2.8000000000000003,2.800000000000001,2.8000000000000056,2.8000000000000056
15,2,5,32.199999999999946,32.199999999999946,56.353902507748664,10.134941114111669,329.6753270980944,0.004684785908204965,0.0023423929541024823,105.75679080752066,52.87839540376033,0,0,35,2.800000000000054,2.800000000000054,0,0,0,0,0,1.2419727287795415,1.2419727287795415,1,rule,4.041972728779528,2.8000000000000003,3.299999999999994,3.3000000000000065,3.3000000000000065
16,2,5,32.199999999999946,32.199999999999946,56.353902507748664,2.294941114111551,329.6753270980944,52.548676183807366,26.274338091903683,105.75679080752064,52.87839540376032,0,0,35,2.800000000000054,2.800000000000054,0,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.7999999999999887,3.800000000000007,3.800000000000007
17,3,5,32.199999999999946,32.199999999999946,56.353902507748664,0,326.95716097756076,41.820808799068345,20.910404399534173,0,0,0,0,25,0,0,70283.62137863762,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.6000000000000134,3.6000000000000045,3.6000000000000045
18,3,5,25.699999999999978,25.699999999999978,56.353902507748664,8.400000000000082,326.95716097756076,41.820808799068345,20.910404399534173,210.07215595696323,58.45222704680457,0,0,25,0,0,0,0,0,0,0,3.0000000000000293,3.0000000000000293,1,rule,0,3.5,4.100000000000015,4.100000000000007,4.100000000000007
19,3,5,22.40309870523919,22.40309870523919,56.353902507748664,15.779092702169626,327.45760573139927,41.820808799068345,20.910404399534173,211.1511180387263,58.752446446614165,0.32269664054247815,0.08978980205303494,25,2.5969012947608086,2.5969012947608086,0,2732295.4674213394,760256.6570192488,0,0,3,3,1,rule,3.2030987052391278,3.5,4.600000000000016,4.6000000000000085,4.6000000000000085
20,3,5,21.5,21.5,56.353902507748664,8.507769076839269,327.45760573139927,119.85162472104602,38.34877931508571,211.15111803872628,58.75244644661416,0.32269664054247815,0.08978980205303494,25,3.5,3.5,0,0,0,2.596901294760848,2.596901294760848,0,0,1,rule,0,3.5,5.100000000000011,5.100000000000009,5.100000000000009
21,3,5,21.5,21.5,56.353902507748664,7.373791981014424,327.45760573139927,126.41293570620779,39.815105144757524,211.15111803872628,58.752446446614165,0.32269664054247815,0.08978980205303494,25,3.5,3.5,0,0,0,0.4049918199375383,0.4049918199375383,0,0,1,rule,3.0950081800624853,3.5,5.600000000000002,5.600000000000011,5.600000000000011
22,3,5,21.5,21.5,56.353902507748664,7.067622183872335,327.45760573139927,128.05715395022267,40.18255605300868,211.1511180387263,58.752446446614165,0.32269664054247815,0.08978980205303494,25,3.5,3.5,0,0,0,0.10934635612225159,0.10934635612225159,0,0,1,rule,3.3906536438777843,3.5,6.099999999999994,6.100000000000012,6.100000000000012
23,3,5,21.5,21.5,56.353902507748664,3.732983659097835,327.45760573139927,145.61762710643038,44.106981435137605,211.1511180387263,58.75244644661416,0.32269664054247815,0.08978980205303494,25,3.5,3.5,0,0,0,1.1909423302765811,1.1909423302765811,0,0,1,rule,2.3090576697234604,3.5,6.599999999999988,6.600000000000013,6.600000000000013
24,3,5,21.5,21.5,56.353902507748664,1.1772166817252252,327.45760573139927,156.23220014925906,46.479132771789665,211.1511180387263,58.752446446614165,0.32269664054247815,0.08978980205303494,25,3.5,3.5,0,0,0,0.9127739204901307,0.9127739204901307,0,0,1,rule,2.5872260795098296,3.5,7.099999999999983,7.100000000000013,7.100000000000013
25,3,5,21.5,21.5,56.353902507748664,0,323.2307511636175,75.12979306613678,22.044464037375782,0,0,0.32269664054247815,0.08978980205303494,25,3.5,3.5,109293.77855913271,0,0,3.5,3.5,0,0,1,rule,0,3.5,7.599999999999977,7.600000000000014,7.600000000000014
26,3,5,21.5,21.5,56.353902507748664,0,318.42682959499007,28.668975653610797,8.408964736672706,0,0,0.32269664054247815,0.08978980205303494,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,8.099999999999973,8.100000000000014,8.100000000000014
27,3,5,21.5,21.5,56.353902507748664,0,316.697743496184,22.3323096515935,6.549255638743639,0,0,0.3226966405424781,0.08978980205303494,25,3.5,3.5,44708.97925682808,0,0,1.2597627291300513,1.2597627291300513,0,0,1,rule,2.2402372708699216,3.5,8.59999999999997,8.600000000000016,8.600000000000016
28,3,5,21.5,21.5,56.353902507748664,0,311.89382192755653,8.662689250754987,2.5374428942210225,0,0,0.3226966405424781,0.08978980205303494,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,9.099999999999966,9.100000000000016,9.100000000000016
29,3,5,21.5,21.5,56.353902507748664,0,311.1936498496754,7.907738548970465,2.315877060050554,0,0,0.3226966405424781,0.08978980205303494,25,3.5,3.5,18104.349417772843,0,0,0.5101253710276082,0.5101253710276082,0,0,1,rule,2.989874628972353,3.5,9.599999999999962,9.600000000000016,9.600000000000016
30,3,5,21.5,21.5,56.353902507748664,0,310.53022689235866,7.257164672534712,2.1249441378328795,0,0,0.3226966405424781,0.08978980205303494,25,3.5,3.5,17154.12740733847,0,0,0.48335101175923717,0.48335101175923717,0,0,1,rule,3.01664898824073,3.5,10.09999999999996,10.100000000000014,10.100000000000014
31,3,6,21.5,21.5,56.353902507748664,0,305.72630532373125,2.9503399395651346,0.8609606587384124,0,0,0.3226966405424781,0.08978980205303495,25,3.5,3.5,124215.00000000023,0,0,3.5,3.5,0,0,1,rule,0,3.5,10.599999999999959,10.600000000000007,10.600000000000007
32,3,6,21.5,21.5,56.353902507748664,0,300.9223837551038,1.3183763776246382,0.38200571892254165,0,0,0.3226966405424781,0.08978980205303495,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,11.099999999999957,11.100000000000001,11.100000000000001
33,3,6,21.5,21.5,56.353902507748664,3.859027683049894,300.9223837551038,1.3183763776246382,0.38200571892254165,262.4066451266492,74.99221364143771,0.3226966405424781,0.08978980205303495,25,3.5,3.5,0,0,0,0,0,1.3782241725178193,1.3782241725178193,1,rule,4.8782241725177995,3.5,11.599999999999955,11.599999999999998,11.599999999999998
34,3,6,21.5,21.5,56.353902507748664,0,298.01014242326545,64.79677592652764,18.519094874818684,0,0,0.3226966405424781,0.08978980205303495,25,3.5,3.5,75301.82411734248,0,0,3.5,3.5,0,0,1,rule,0,3.5,12.099999999999952,12.099999999999996,12.099999999999996
35,3,6,21.5,21.5,56.353902507748664,0,293.20622085463805,24.753537133984416,7.073114226750758,0,0,0.3226966405424781,0.08978980205303495,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,12.59999999999995,12.59999999999999,12.59999999999999
36,3,6,21.5,21.5,56.353902507748664,0,288.4022992860106,9.580152874519964,2.7359460096816193,0,0,0.3226966405424781,0.08978980205303497,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,13.09999999999995,13.099999999999989,13.099999999999989
37,3,6,21.5,21.5,56.353902507748664,0,283.59837771738313,3.8305782440023974,1.0924845430286962,0,0,0.3226966405424781,0.08978980205303497,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,13.599999999999948,13.599999999999985,13.599999999999985
38,4,6,21.5,21.5,56.353902507748664,0.9752795475451698,283.59837771738313,3.8305782440023974,1.0924845430286962,272.6704838205719,77.92592810192933,0.3226966405424781,0.08978980205303497,0,0,0,0,0,0,0,0,0.34831412412327495,0.34831412412327495,1,rule,3.8483141241232595,3.5,13.400000000000052,13.400000000000013,13.400000000000013
39,4,6,18.044763471651546,18.044763471651546,56.353902507748664,9.37527954754516,283.59837771738313,3.8305782440023974,1.0924845430286962,270.3017923994559,77.24898472767322,0.3226966405424781,0.08978980205303497,0,0,0,0,0,0,0,0,2.999999999999997,2.999999999999997,1,rule,3.744763471651538,4.2,13.199999999999976,13.200000000000026,13.200000000000026
40,4,6,14.162981637324554,14.162981637324554,56.353902507748664,15.779092702169626,284.57690068080257,3.8305782440023974,1.0924845430286962,275.4388973715497,78.71710722886358,1.268688811305314,0.3601512947467072,0,0,0,0,6969063.60860965,1991674.1338958056,0,0,3.0000000000000164,3.0000000000000164,1,rule,3.3182181656730356,4.2,13.000000000000002,13.000000000000002,13.000000000000002
41,4,6,6.962981637324564,6.962981637324564,56.353902507748664,15.779092702169626,288.69454773962605,3.8305782440023974,1.0924845430286962,306.3979832393106,87.56483972131821,5.620744475673234,1.603950776332855,0,0,0,0,3.2622193275489397E7,9323028.48512875,0,0,3,3,1,rule,0,4.2,13.500000000000002,13.500000000000002,13.500000000000002
42,4,6,4.3807463594709315,4.3807463594709315,56.353902507748664,15.779092702169626,292.81219479844964,3.8305782440023974,1.0924845430286962,322.0329152652659,92.03311429164127,10.07026422782886,2.8756033433886294,0,0,0,0,3.428684448829307E7,9798765.678631105,0,0,3.000000000000018,3.000000000000018,1,rule,4.617764722146349,4.2,14.000000000000002,14.000000000000002,14.000000000000002
43,4,6,1.5494898932209544,1.5494898932209544,56.353902507748664,15.779092702169626,296.9298418572732,3.8305782440023974,1.0924845430286962,329.88170808420483,94.27620439925279,14.505219781424918,4.143092706392051,0,0,0,0,3.5122505459725305E7,1.0037587482388444E7,0,0,3,3,1,rule,4.368743533750032,4.2,14.500000000000002,14.500000000000002,14.500000000000002
44,4,6,0,0,56.353902507748664,15.779092702169626,301.0474889160967,3.8305782440023974,1.0924845430286962,329.0799274671321,94.04706519120911,18.80788852164925,5.372775203367906,0,0,0,0,3.503713987742546E7,1.0013191030908003E7,0,0,2.99999999999999,2.99999999999999,1,rule,4.499284633997943,4.2,15.000000000000002,15.000000000000002,15.000000000000002
45,4,6,0,0,56.353902507748664,15.779092702169626,305.16513597492025,3.8305782440023974,1.0924845430286962,289.3017862544728,82.67895329023105,22.457710441414072,6.415881113259336,0,0,0,0,3.0801961182513803E7,8802828.156810924,0,0,3.000000000000008,3.000000000000008,1,rule,4.654202062969461,4.2,15.500000000000002,15.500000000000002,15.500000000000002
46,4,6,0,0,56.353902507748664,15.779092702169626,309.2827830337438,3.8305782440023974,1.0924845430286962,219.39299338377003,62.69986537941831,25.079615161204767,7.165219889893192,0,0,0,0,2.3358772005570054E7,6675654.666946679,0,0,3.0000000000000058,3.0000000000000058,1,rule,4.03032920417218,4.2,16,16,16
47,4,6,0,0,56.353902507748664,15.779092702169626,309.2827830337438,3.8305782440023974,1.0924845430286962,219.39299338377003,62.69986537941831,25.079615161204767,7.165219889893192,0,0,0,0,0,0,0,0,0,0,1,rule,0,4.2,16.5,16.5,16.5
