tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,3.25,3.25,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,11.75,11.75,177450,0,0,5,5,0,0,1,rule,0,1.75,0,0,0
1,1,5,6.5,6.5,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,8.5,8.5,177450,0,0,5,5,0,0,1,rule,0,1.75,0,0,0
2,1,5,9.75,9.75,56.353902507748664,0,366.15423289631434,0,0,0,0,0,0,15,5.25,5.25,177450,0,0,5,5,0,0,1,rule,0,1.75,0,0,0
3,1,5,13.25,13.25,56.353902507748664,0,365.30127655804563,0,0,0,0,0,0,15,1.75,1.75,22054.892038613325,0,0,0.6214396178814261,0.6214396178814261,0,0,1,rule,4.628560382118608,1.75,0.5,0.5,0.5
4,1,5,13.25,13.25,56.353902507748664,0,362.8993157737319,0,0,0,0,0,0,15,1.75,1.75,62107.5,0,0,1.75,1.75,0,0,1,rule,0,1.75,1,1,1
5,1,5,13.25,13.25,56.353902507748664,6.778465280000036,362.8993157737319,0,0,229.6095200148124,114.8047600074062,0,0,15,1.75,1.75,0,0,0,0,0,2.42088045714287,2.42088045714287,1,rule,4.170880457142884,1.75,1.5,1.5,1.5
6,1,5,13.25,13.25,56.353902507748664,1.8784652800000359,362.8993157737319,71.3023663215998,35.6511831607999,229.6095200148124,114.8047600074062,0,0,15,1.75,1.75,0,0,0,1.75,1.75,0,0,1,rule,0,1.75,2,2,2
7,2,5,13.25,13.25,56.353902507748664,3.4266039974438174,362.8993157737319,71.3023663215998,35.6511831607999,225.92164562866003,112.96082281433002,0,0,35,21.75,21.75,0,0,0,0,0,0.5529066848013505,0.5529066848013505,1,rule,2.3029066848013704,1.75,1.8000000000000067,1.8000000000000023,1.8000000000000023
8,2,5,15.450000000000028,15.450000000000028,56.353902507748664,0,357.71627851757694,57.10071869129385,28.550359345646925,0,0,0,0,35,19.549999999999972,19.549999999999972,134017.79433239962,0,0,5,5,0,0,1,rule,0,2.8000000000000003,1.600000000000002,1.5999999999999968,1.5999999999999968
9,2,5,22.011125550994784,22.011125550994784,56.353902507748664,0,350.8535334195377,6.438106032443643,3.2190530162218214,0,0,0,0,35,12.988874449005216,12.988874449005216,177450,0,0,4.999999999999973,4.999999999999973,0,0,1,rule,4.361125550994781,2.8000000000000003,1.4000000000000006,1.4000000000000028,1.4000000000000028
10,2,5,24.211125550994847,24.211125550994847,56.353902507748664,0,343.9907883214985,0.7258964551580022,0.3629482275790011,0,0,0,0,35,10.788874449005153,10.788874449005153,177450.00000000012,0,0,5.000000000000016,5.000000000000016,0,0,1,rule,0,2.8000000000000003,1.1999999999999953,1.200000000000002,1.200000000000002
11,2,5,29.879132111823644,29.879132111823644,56.353902507748664,0,337.12804322345926,0.08184482531906222,0.04092241265953111,0,0,0,0,35,5.120867888176356,5.120867888176356,177450,0,0,5.0000000000000195,5.0000000000000195,0,0,1,rule,3.468006560828818,2.8000000000000003,1.0000000000000002,1.0000000000000002,1.0000000000000002
12,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,335.78215997022653,0.06760361975970237,0.03380180987985119,0,0,0,0,35,2.800000000000054,2.800000000000054,34800.503278838005,0,0,0.9805720844981188,0.9805720844981188,0,0,1,rule,4.140295803678258,2.8000000000000003,1.5000000000000002,1.5000000000000002,1.5000000000000002
13,2,5,32.199999999999946,32.199999999999946,56.353902507748664,8.071010861886148,335.78215997022653,0.06760361975970237,0.03380180987985119,105.57958470669061,52.789792353345305,0,0,35,2.800000000000054,2.800000000000054,0,0,0,0,0,2.8825038792450526,2.8825038792450526,1,rule,5.682503879245061,2.8000000000000003,2,2,2
14,2,5,32.199999999999946,32.199999999999946,56.353902507748664,13.011914494806694,335.78215997022653,0.06760361975970237,0.03380180987985119,103.65532564927793,51.82766282463896,0,0,35,2.800000000000054,2.800000000000054,0,0,0,0,0,1.764608440328767,1.764608440328767,1,rule,4.564608440328747,2.8000000000000003,2.5,2.5,2.5
15,2,5,32.199999999999946,32.199999999999946,56.353902507748664,14.235658381998455,335.78215997022653,0.06760361975970237,0.03380180987985119,103.27855485397146,51.63927742698573,0,0,35,2.800000000000054,2.800000000000054,0,0,0,0,0,0.4370513882827713,0.4370513882827713,1,rule,3.2370513882827394,2.8000000000000003,3,3,3
16,2,5,32.199999999999946,32.199999999999946,56.353902507748664,6.395658381998336,335.78215997022653,51.348996849990925,25.674498424995463,103.27855485397149,51.63927742698574,0,0,35,2.800000000000054,2.800000000000054,0,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.5,3.5,3.5
17,3,5,32.199999999999946,32.199999999999946,56.353902507748664,0,335.07414937316685,67.69709902528753,33.848549512643764,0,0,0,0,25,0,0,18307.030008172616,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.299999999999994,3.3000000000000065,3.3000000000000065
18,3,5,29.94216482693821,29.94216482693821,56.353902507748664,8.400000000000036,335.07414937316685,67.69709902528753,33.848549512643764,181.6165548775174,49.6471662061133,0,0,25,0,0,0,0,0,0,0,3.0000000000000133,3.0000000000000133,1,rule,4.242164826938214,3.5,3.7999999999999887,3.800000000000007,3.800000000000007
19,3,5,27.9143811114313,27.9143811114313,56.353902507748664,15.779092702169626,335.5745941270053,67.69709902528753,33.848549512643764,179.05119460540132,48.945892757257276,0.2670203065934877,0.0729933543271682,25,0,0,0,2316922.4581939764,633359.852278932,0,0,3,3,1,rule,4.47221628449302,3.5,4.299999999999985,4.300000000000008,4.300000000000008
20,3,5,24.408591676979544,24.408591676979544,56.353902507748664,15.779092702169626,339.6922411858288,67.69709902528753,33.848549512643764,179.16328948239473,48.97653529968795,2.4355470119275218,0.6657873638530128,25,0.5914083230204561,0.5914083230204561,0,1.9075515431190543E7,5214531.713357771,0,0,2.999999999999997,2.999999999999997,1,rule,2.9942105655483244,3.5,4.799999999999981,4.800000000000008,4.800000000000008
21,3,5,21.598492122754287,21.598492122754287,56.353902507748664,15.779092702169626,343.8098882446523,67.69709902528753,33.848549512643764,178.8152872951626,48.8814045312332,4.547963040801344,1.2432428152719917,25,3.401507877245713,3.401507877245713,0,1.9038463638315964E7,5204403.1404404,0,0,3,3,1,rule,3.68990044577471,3.5,5.299999999999979,5.300000000000003,5.300000000000003
22,3,5,21.5,21.5,56.353902507748664,6.254870645881662,343.8098882446523,134.76776776083446,42.922344314378044,178.81528729516265,48.881404531233194,4.547963040801344,1.2432428152719917,25,3.5,3.5,0,0,0,3.401507877245687,3.401507877245687,0,0,1,rule,0,3.5,5.799999999999978,5.799999999999999,5.799999999999999
23,3,5,21.5,21.5,56.353902507748664,0,342.07207973773154,122.9714928574121,35.920379281552144,0,0,4.547963040801345,1.2432428152719917,25,3.5,3.5,44934.51456344989,0,0,3.5,3.5,0,0,1,rule,0,3.5,6.299999999999975,6.299999999999995,6.299999999999995
24,3,5,21.5,21.5,56.353902507748664,2.363332460601915,342.07207973773154,122.9714928574121,35.920379281552144,200.18328790280003,57.565626218106296,4.547963040801345,1.2432428152719917,25,3.5,3.5,0,0,0,0,0,0.8440473073578268,0.8440473073578268,1,rule,4.344047307357863,3.5,6.799999999999974,6.799999999999993,6.799999999999993
