tick,stage,month,north_mm,south_mm,pool_mm,canal_mm,lake_mm,poolN_mgL,poolP_mgL,canalN_mgL,canalP_mgL,lakeN_mgL,lakeP_mgL,target_mm,defN_mm,defS_mm,delta_lake_L,delta_N_to_lake_mg,delta_P_to_lake_mg,irrigateN_mm,irrigateS_mm,drainN_mm,drainS_mm,pool_ratio,control_mode,rain_today_mm,actual_loss_mm,growth_avg_pct,growthN_pct,growthS_pct
0,1,5,6.361183542716121,6.361183542716121,56.353902507748664,0,379.8797230923928,0,0,0,0,0,0,15,8.638816457283879,8.638816457283879,177450,0,0,4.999999999999992,4.999999999999992,0,0,1,rule,3.1111835427161165,1.75,0,0,0
1,1,5,9.611183542716136,9.611183542716136,56.353902507748664,0,373.01697799435357,0,0,0,0,0,0,15,5.388816457283864,5.388816457283864,177450,0,0,4.999999999999971,4.999999999999971,0,0,1,rule,0,1.75,0,0,0
2,1,5,13.25,13.25,56.353902507748664,0.6877207421973582,373.01697799435357,0,0,262.37053197662664,131.18526598831332,0,0,15,1.75,1.75,0,0,0,0,0,0.24561455078477082,0.24561455078477082,1,rule,5.634431008068668,1.75,0.5,0.5,0.5
3,1,5,13.25,13.25,56.353902507748664,0,370.9521352209209,11.43523651121406,5.71761825560703,0,0,0,0,15,1.75,1.75,53390.639592648484,0,0,1.75,1.75,0,0,1,rule,0,1.75,1,1,1
4,1,5,13.25,13.25,56.353902507748664,0,368.5501744366072,7.884166753112923,3.9420833765564613,0,0,0,0,15,1.75,1.75,62107.5,0,0,1.75,1.75,0,0,1,rule,0,1.75,1.5,1.5,1.5
5,1,5,13.25,13.25,56.353902507748664,0,368.2320944144031,7.559946355541281,3.7799731777706405,0,0,0,0,15,1.75,1.75,8224.59513413196,0,0,0.23174401617725543,0.23174401617725543,0,0,1,rule,1.5182559838227596,1.75,2,2,2
6,1,5,13.25,13.25,56.353902507748664,0,365.8301336300894,5.2122995141573805,2.6061497570786902,0,0,0,0,15,1.75,1.75,62107.5,0,0,1.75,1.75,0,0,1,rule,0,1.75,2.5,2.5,2.5
7,2,5,13.25,13.25,56.353902507748664,6.497124322801773,365.8301336300894,5.2122995141573805,2.6061497570786902,229.24564699493797,114.62282349746899,0,0,35,21.75,21.75,0,0,0,0,0,2.320401543857776,2.320401543857776,1,rule,4.070401543857758,1.75,2.300000000000008,2.3000000000000043,2.3000000000000043
8,2,5,15.450000000000028,15.450000000000028,56.353902507748664,0,362.1522533961687,94.98078636728762,47.49039318364381,0,0,0,0,35,19.549999999999972,19.549999999999972,95098.94920848752,0,0,5,5,0,0,1,rule,0,2.8000000000000003,2.100000000000007,2.099999999999996,2.099999999999996
9,2,5,21.33675038538968,21.33675038538968,56.353902507748664,0,355.2895082981295,10.70908366291156,5.35454183145578,0,0,0,0,35,13.663249614610319,13.663249614610319,177450,0,0,5.000000000000006,5.000000000000006,0,0,1,rule,3.6867503853897023,2.8000000000000003,1.8999999999999944,1.9000000000000035,1.9000000000000035
10,2,5,26.394220659431245,26.394220659431245,56.353902507748664,0,348.42676320009025,1.2074491829933842,0.6037245914966921,0,0,0,0,35,8.605779340568755,8.605779340568755,177450,0,0,4.999999999999944,4.999999999999944,0,0,1,rule,2.857470274041572,2.8000000000000003,1.6999999999999935,1.6999999999999982,1.6999999999999982
11,2,5,28.59422065943132,28.59422065943132,56.353902507748664,0,341.564018102051,0.13613989538250273,0.06806994769125137,0,0,0,0,35,6.405779340568682,6.405779340568682,177449.99999999988,0,0,5.000000000000006,5.000000000000006,0,0,1,rule,0,2.8000000000000003,1.4999999999999998,1.4999999999999998,1.4999999999999998
12,2,5,30.79422065943121,30.79422065943121,56.353902507748664,0,334.70127300401185,0.015349773204377888,0.007674886602188944,0,0,0,0,35,4.205779340568789,4.205779340568789,177450,0,0,4.999999999999971,4.999999999999971,0,0,1,rule,0,2.8000000000000003,1.9999999999999998,1.9999999999999998,1.9999999999999998
13,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,333.82900788809724,0.013618767069206436,0.006809383534603218,0,0,0,0,35,2.800000000000054,2.800000000000054,22554.159102203557,0,0,0.6355074415949353,0.6355074415949353,0,0,1,rule,3.5702718989737505,2.8000000000000003,2.5,2.5,2.5
14,2,5,32.25742378429637,32.25742378429637,56.353902507748664,8.4,333.82900788809724,0.013618767069206436,0.006809383534603218,105.10231264217437,52.551156321087184,0,0,35,2.742576215703629,2.742576215703629,0,0,0,0,0,3,3,1,rule,5.857423784296293,2.8000000000000003,3,3,3
15,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0.7207865960298072,333.82900788809724,51.15714912356845,25.578574561784226,105.10231264217433,52.55115632108716,0,0,35,2.800000000000054,2.800000000000054,0,0,0,2.7425762157037377,2.7425762157037377,0,0,1,rule,0,2.8000000000000003,3.5,3.5,3.5
16,2,5,32.199999999999946,32.199999999999946,56.353902507748664,0,330.3391973959549,30.540265941189077,15.270132970594538,0,0,0,0,35,2.800000000000054,2.800000000000054,90236.0298953238,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,4,4,4
17,3,5,32.199999999999946,32.199999999999946,56.353902507748664,0,326.4960601410529,15.366029405649765,7.683014702824883,0,0,0,0,25,0,0,99372.0000000014,0,0,2.80000000000002,2.80000000000002,0,0,1,rule,0,2.8000000000000003,3.7999999999999887,3.800000000000007,3.800000000000007
18,3,5,25.699999999999978,25.699999999999978,56.353902507748664,8.400000000000082,326.4960601410529,15.366029405649765,7.683014702824883,214.70206297187227,60.76718055425907,0,0,25,0,0,0,0,0,0,0,3.0000000000000293,3.0000000000000293,1,rule,0,3.5,4.299999999999985,4.300000000000008,4.300000000000008
19,3,5,21.5,21.5,56.353902507748664,10.359999999999953,326.4960601410529,15.366029405649765,7.683014702824883,220.23387551032064,62.33285089139152,0,0,25,3.5,3.5,0,0,0,0,0,0.6999999999999541,0.6999999999999541,1,rule,0,3.5,4.799999999999981,4.800000000000008,4.800000000000008
20,3,5,21.5,21.5,56.353902507748664,15.193120019621642,326.4960601410529,15.366029405649765,7.683014702824883,222.76373510688376,63.04887770898861,0,0,25,3.5,3.5,0,0,0,0,0,1.7261142927220314,1.7261142927220314,1,rule,5.226114292721969,3.5,5.299999999999979,5.300000000000003,5.300000000000003
21,3,5,21.5,21.5,56.353902507748664,15.77227195171227,326.4960601410529,15.366029405649765,7.683014702824883,222.89410556481613,63.08577649350172,0,0,25,3.5,3.5,0,0,0,0,0,0.20683997574665264,0.20683997574665264,1,rule,3.7068399757466777,3.5,5.799999999999978,5.799999999999999,5.799999999999999
22,3,5,21.5,21.5,56.353902507748664,15.779092702169626,326.9016227274162,15.366029405649765,7.683014702824883,222.9320255715119,63.09650900282932,0.27657522198775003,0.07827915679396946,25,3.5,3.5,0,2337806.067614781,661669.8575001635,0,0,0.2979172952280286,0.2979172952280286,1,rule,3.7979172952280282,3.5,6.299999999999975,6.299999999999995,6.299999999999995
23,3,5,21.5,21.5,56.353902507748664,15.779092702169626,327.2754308353611,15.366029405649765,7.683014702824883,222.85397124646272,63.07441726697151,0.5307991185596199,0.15023221215987892,25,3.5,3.5,0,2154007.593979037,609649.3278488776,0,0,0.2723459072169701,0.2723459072169701,1,rule,3.7723459072169327,3.5,6.799999999999974,6.799999999999993,6.799999999999993
24,3,5,21.5,21.5,56.353902507748664,15.779092702169626,331.1439303121221,15.366029405649765,7.683014702824883,214.84238437854893,60.806895758375525,3.034436297295353,0.8588372920399057,25,3.5,3.5,0,2.149020911624514E7,6082379.458490513,0,0,2.8184781902116347,2.8184781902116347,1,rule,6.3184781902116525,3.5,7.299999999999973,7.29999999999999,7.29999999999999
25,3,5,21.5,21.5,56.353902507748664,5.979092702169625,331.1439303121221,139.25580657044313,40.676929129400996,214.84238437854893,60.806895758375525,3.034436297295353,0.8588372920399057,25,3.5,3.5,0,0,0,3.5,3.5,0,0,1,rule,0,3.5,7.799999999999972,7.799999999999988,7.799999999999988
26,3,5,21.5,21.5,56.353902507748664,0,329.27093653867587,134.9114457547369,38.662725795868184,0,0,3.0344362972953527,0.8588372920399057,25,3.5,3.5,48430,0,0,3.5,3.5,0,0,1,rule,0,3.5,8.29999999999997,8.299999999999986,8.299999999999986
27,3,5,21.5,21.5,56.353902507748664,0,324.4670149700484,53.00593210595638,15.183675743353033,0,0,3.034436297295353,0.8588372920399058,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,8.79999999999997,8.799999999999983,8.799999999999983
28,3,5,21.5,21.5,56.353902507748664,0,319.66309340142095,21.969885346592235,6.286876702203733,0,0,3.034436297295353,0.8588372920399058,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,9.299999999999969,9.299999999999983,9.299999999999983
29,3,5,21.5,21.5,56.353902507748664,0,319.1851750815163,20.79990806964317,5.951490794441936,0,0,3.0344362972953527,0.8588372920399058,25,3.5,3.5,12357.533997773426,0,0,0.34819763307338286,0.34819763307338286,0,0,1,rule,3.151802366926561,3.5,9.79999999999997,9.799999999999983,9.799999999999983
30,3,5,21.5,21.5,56.353902507748664,0,314.3812535128889,9.766217688632251,2.7885710204375953,0,0,3.034436297295353,0.8588372920399058,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,10.299999999999981,10.299999999999981,10.299999999999981
31,3,6,21.5,21.5,56.353902507748664,5.429429175655552,314.3812535128889,9.766217688632251,2.7885710204375953,232.0022777292616,66.35598534172237,3.034436297295353,0.8588372920399058,25,3.5,3.5,0,0,0,0,0,1.9390818484484116,1.9390818484484116,1,rule,5.43908184844835,3.5,10.79999999999999,10.799999999999978,10.799999999999978
32,3,6,21.5,21.5,56.353902507748664,11.20900482991048,314.3812535128889,9.766217688632251,2.7885710204375953,222.87870519021658,63.74651248830713,3.034436297295353,0.8588372920399058,25,3.5,3.5,0,0,0,0,0,2.064134162233903,2.064134162233903,1,rule,5.564134162233946,3.5,11.299999999999997,11.299999999999978,11.299999999999978
33,3,6,21.5,21.5,56.353902507748664,1.409004829910481,314.3812535128889,142.12505586367874,40.64802451759466,222.87870519021675,63.74651248830717,3.034436297295353,0.8588372920399058,25,3.5,3.5,0,0,0,3.5,3.5,0,0,1,rule,0,3.5,11.800000000000004,11.799999999999976,11.799999999999976
34,3,6,21.5,21.5,56.353902507748664,5.704593182988897,314.3812535128889,142.12505586367874,40.64802451759466,208.06455411204965,59.50898481505493,3.034436297295353,0.8588372920399058,25,3.5,3.5,0,0,0,0,0,1.5341386975280056,1.5341386975280056,1,rule,5.034138697527932,3.5,12.300000000000013,12.299999999999976,12.299999999999976
35,3,6,21.5,21.5,56.353902507748664,8.039143669314212,314.3812535128889,142.12505586367874,40.64802451759466,204.74892437315978,58.56062834426544,3.034436297295353,0.8588372920399058,25,3.5,3.5,0,0,0,0,0,0.8337680308304699,0.8337680308304699,1,rule,4.333768030830491,3.5,12.800000000000017,12.799999999999974,12.799999999999974
36,3,6,21.5,21.5,56.353902507748664,0,313.5180886449057,158.50899396158587,45.33390569154752,0,0,3.0344362972953527,0.8588372920399058,25,3.5,3.5,22318.85399144236,0,0,3.5,3.5,0,0,1,rule,0,3.5,13.300000000000026,13.299999999999974,13.299999999999974
37,3,6,21.5,21.5,56.353902507748664,0,308.7141670762782,61.94763306023664,17.711552585323336,0,0,3.034436297295353,0.8588372920399058,25,3.5,3.5,124215,0,0,3.5,3.5,0,0,1,rule,0,3.5,13.800000000000031,13.799999999999974,13.799999999999974
38,4,6,21.5,21.5,56.353902507748664,0.8591780886539447,308.7141670762782,61.94763306023664,17.711552585323336,235.84107407032798,67.4528270109757,3.034436297295353,0.8588372920399058,0,0,0,0,0,0,0,0,0.3068493173764088,0.3068493173764088,1,rule,3.8068493173763764,3.5,13.599999999999948,13.599999999999985,13.599999999999985
39,4,6,14.299999999999974,14.299999999999974,56.353902507748664,9.259178088653945,308.7141670762782,61.94763306023664,17.711552585323336,270.6712667735017,77.41459882034904,3.034436297295353,0.8588372920399058,0,0,0,0,0,0,0,0,3,3,1,rule,0,4.2,13.400000000000052,13.400000000000013,13.400000000000013
40,4,6,7.100000000000013,7.100000000000013,56.353902507748664,15.779092702169626,309.635777559849,61.94763306023664,17.711552585323336,310.6785974386324,88.85708213316346,3.950118865865406,1.120758267776407,0,0,0,0,7403496.537636947,2117471.5778332353,0,0,3.0000000000000098,3.0000000000000098,1,rule,0,4.2,13.900000000000054,13.900000000000018,13.900000000000018
41,4,6,4.84109132954956,4.84109132954956,56.353902507748664,15.779092702169626,313.75342461867245,61.94763306023664,17.711552585323336,318.41325666881784,91.06926944234681,8.07708008089107,2.301227366826621,0,0,0,0,3.3901459437528886E7,9696145.117526619,0,0,2.9999999999999867,2.9999999999999867,1,rule,4.941091329549568,4.2,14.400000000000054,14.400000000000018,14.400000000000018
42,4,6,0,0,56.353902507748664,15.779092702169626,317.871071677496,61.94763306023664,17.711552585323336,423.81018974367635,121.21381115209923,13.462415107525162,3.8416004756363242,0,0,0,0,4.512307090200943E7,1.2905634473364063E7,0,0,3.0000000000000133,3.0000000000000133,1,rule,0,4.2,14.900000000000055,14.900000000000022,14.900000000000022
43,4,6,0,0,56.353902507748664,15.779092702169626,321.9887187363195,61.94763306023664,17.711552585323336,390.291373696792,111.62710574323143,18.281368576156737,5.219980036543772,0,0,0,0,4.155432255749735E7,1.188493794848182E7,0,0,2.999999999999993,2.999999999999993,1,rule,3.4973547859558343,4.2,15.400000000000055,15.400000000000023,15.400000000000023
44,4,6,0,0,56.353902507748664,15.779092702169626,326.10636579514306,61.94763306023664,17.711552585323336,266.50392507511117,76.22269880977946,21.415600185556364,6.1165100242740555,0,0,0,0,2.8374672902747005E7,8115430.74227719,0,0,2.9999999999999893,2.9999999999999893,1,rule,4.791875785688221,4.2,15.900000000000059,15.900000000000025,15.900000000000025
45,4,6,0,0,56.353902507748664,15.779092702169626,326.10636579514306,61.94763306023664,17.711552585323336,266.50392507511117,76.22269880977946,21.415600185556364,6.1165100242740555,0,0,0,0,0,0,0,0,0,0,1,rule,0,4.2,16.40000000000006,16.400000000000027,16.400000000000027
46,4,6,0,0,56.353902507748664,15.779092702169626,326.10636579514306,61.94763306023664,17.711552585323336,266.50392507511117,76.22269880977946,21.415600185556364,6.1165100242740555,0,0,0,0,0,0,0,0,0,0,1,rule,0,4.2,16.90000000000006,16.90000000000003,16.90000000000003
47,4,6,0,0,56.353902507748664,15.779092702169626,330.2240128539666,61.94763306023664,17.711552585323336,178.1200748587981,50.944063259522615,23.36958806689227,6.675476167099668,0,0,0,0,1.896444437021631E7,5424014.4152413905,0,0,3.000000000000011,3.000000000000011,1,rule,5.033526578981195,4.2,17.40000000000006,17.400000000000034,17.400000000000034
48,4,6,0,0,56.353902507748664,15.779092702169626,334.34165991279013,61.94763306023664,17.711552585323336,118.86418567562349,33.99630613871541,24.545669591042433,7.011950943251062,0,0,0,0,1.2655469848883659E7,3619586.714589037,0,0,3.0000000000000075,3.0000000000000075,1,rule,3.2556831711045837,4.2,17.90000000000006,17.900000000000034,17.900000000000034
49,4,6,0,0,56.353902507748664,15.779092702169626,338.45930697161367,61.94763306023664,17.711552585323336,77.71911691036176,22.228418730984693,25.192570073469604,7.197072293266411,0,0,0,0,8274754.377446234,2366659.7422879413,0,0,3.0000000000000053,3.0000000000000053,1,rule,4.4958706819343215,4.2,18.400000000000063,18.400000000000034,18.400000000000034
50,4,6,0,0,56.353902507748664,15.779092702169626,338.45930697161367,61.94763306023664,17.711552585323336,77.71911691036176,22.228418730984693,25.192570073469604,7.197072293266411,0,0,0,0,0,0,0,0,0,0,1,rule,0,4.2,18.900000000000063,18.900000000000034,18.900000000000034
51,4,6,0,0,56.353902507748664,15.779092702169626,338.45930697161367,61.94763306023664,17.711552585323336,77.71911691036176,22.228418730984693,25.192570073469604,7.197072293266411,0,0,0,0,0,0,0,0,0,0,1,rule,0,4.2,19.400000000000063,19.400000000000038,19.400000000000038
52,5,6,0,0,56.353902507748664,15.779092702169626,338.45930697161367,61.94763306023664,17.711552585323336,77.71911691036176,22.228418730984693,25.192570073469604,7.197072293266411,25,25,25,0,0,0,0,0,0,0,1,rule,0,4.2,19.199999999999925,19.20000000000003,19.20000000000003
53,5,6,5.498762702825051,5.498762702825051,56.353902507748664,1.7790927021696252,338.45930697161367,75.94088210625992,21.71914207306131,77.71911691036183,22.228418730984703,25.192570073469604,7.197072293266411,25,19.50123729717495,19.50123729717495,0,0,0,5.000000000000021,5.000000000000021,0,0,1,rule,3.9987627028250583,3.5,19.000000000000004,19.000000000000004,19.000000000000004
54,5,6,13.558086983844925,13.558086983844925,56.353902507748664,0,332.46866613934384,36.83681041102602,10.529219971790937,0,0,25.192570073469607,7.197072293266411,25,11.441913016155075,11.441913016155075,154900,0,0,5.000000000000021,5.000000000000021,0,0,1,rule,6.55932428101987,3.5,18.80000000000007,18.79999999999997,18.79999999999997
55,5,6,17.917184707647664,17.917184707647664,56.353902507748664,0,325.6059210413046,26.50545817152905,7.5727719440200385,0,0,25.192570073469607,7.197072293266411,25,7.082815292352336,7.082815292352336,177450,0,0,5.000000000000006,5.000000000000006,0,0,1,rule,2.859097723802699,3.5,18.599999999999937,18.599999999999966,18.599999999999966
56,5,6,21.5,21.5,56.353902507748664,0,323.2611641644646,26.10746678841915,7.458881640757825,0,0,25.192570073469607,7.197072293266411,25,3.5,3.5,60628.37856445322,0,0,1.7083228674121065,1.7083228674121065,0,0,1,rule,5.374492424940312,3.5,19.099999999999937,19.099999999999962,19.099999999999962
57,5,6,21.5,21.5,56.353902507748664,2.697336011456548,323.2611641644646,26.10746678841915,7.458881640757825,112.44892960505997,10.12659281079908,25.192570073469607,7.197072293266411,25,3.5,3.5,0,0,0,0,0,0.96333428980591,0.96333428980591,1,rule,4.463334289805979,3.5,19.59999999999994,19.599999999999966,19.599999999999966
58,5,6,21.5,21.5,56.353902507748664,3.8571341605081098,323.2611641644646,26.10746678841915,7.458881640757825,111.89784193291908,10.076964588650393,25.192570073469607,7.197072293266411,25,3.5,3.5,0,0,0,0,0,0.41421362466127204,0.41421362466127204,1,rule,3.914213624661233,3.5,20.099999999999948,20.099999999999962,20.099999999999962
